char,mean_w,naive_t,boot_t,boot_ci_lo,boot_ci_hi,signif_boot
size,0.02785,3.032,1.435,-0.00488,0.07030,0
st_rev,0.03296,1.721,1.071,-0.02362,0.09708,0
turnover,0.06504,4.385,2.675,0.02357,0.11911,1
vol,0.03517,2.610,1.607,-0.00228,0.08272,0
bm,-0.00490,-0.147,-0.066,-0.15425,0.13570,0
mom,-0.05426,-2.509,-1.252,-0.14648,0.02222,0
roe,-0.13170,-2.890,-1.248,-0.34855,0.06786,0
ag,0.15938,4.260,1.859,0.00986,0.34019,0
ac,0.18742,4.157,1.791,0.00039,0.41281,0
noa,-0.00304,-0.178,-0.086,-0.07317,0.06659,0
nsi,0.11212,6.276,2.964,0.04989,0.19661,1
gp,-0.01995,-0.402,-0.180,-0.22493,0.20152,0
cei,0.12275,3.788,1.671,-0.00552,0.28185,0
ita,0.07871,3.380,1.770,0.01495,0.18352,0
ig,0.04680,1.102,0.485,-0.14429,0.23282,0
dist,0.06346,1.381,0.592,-0.14920,0.26513,0
oscore,0.06515,3.119,1.391,-0.01847,0.16395,0
investment,0.15938,4.260,1.863,0.00850,0.34064,0
cbop,0.07108,1.653,0.758,-0.11245,0.25456,0
dy,0.07094,1.653,0.711,-0.12529,0.26310,0
