char,mean_w,naive_t,boot_t,boot_ci_lo,boot_ci_hi,signif_boot
mom,-0.03664,-3.348,-1.802,-0.08218,-0.00243,0
ag,0.25977,5.125,2.295,0.06559,0.50113,1
ac,0.32270,5.478,2.445,0.09171,0.60725,1
noa,0.09980,5.424,2.577,0.03335,0.18527,1
nsi,0.10135,2.328,1.083,-0.06610,0.29799,0
gp,0.01433,0.505,0.217,-0.11134,0.14834,0
cei,0.26286,4.726,2.094,0.04164,0.53200,1
ita,0.18203,7.993,3.617,0.10146,0.29799,1
ig,0.06179,0.973,0.429,-0.22478,0.33942,0
dist,-0.10037,-3.965,-1.777,-0.22907,-0.00739,0
oscore,-0.11738,-6.241,-2.804,-0.21305,-0.05015,1
