month,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,ig,dist,oscore,cbop,dy
2020-07,0.01557,0.00857,-0.00331,-0.02329,-0.00986,0.00464,-0.00629,0.03664,0.03394,-0.02245,0.00766,0.00592,0.02762,0.02643,0.00764,0.01340,0.00771,0.00516,0.00466
2020-08,0.00137,0.01672,0.00420,-0.00934,-0.01319,-0.00210,-0.01069,0.05080,0.04244,-0.01652,0.03394,-0.00317,0.02750,-0.00454,0.00390,0.01562,0.01367,-0.01006,0.00240
2020-09,0.00110,0.01035,0.00498,0.00593,-0.01156,0.00044,-0.01111,0.05391,0.04635,-0.01804,0.03646,-0.00309,0.03060,-0.00054,0.00288,0.01808,0.01676,-0.00965,0.00344
2020-10,0.00303,0.01398,0.00551,0.00401,-0.01620,0.00454,-0.00895,0.05774,0.04879,-0.01769,0.03571,0.00110,0.03355,-0.00082,0.00390,0.01343,0.01218,-0.00972,0.00533
2020-11,0.00149,0.00363,-0.00503,0.00674,-0.01523,0.00246,-0.00972,0.05433,0.04761,-0.01688,0.03783,-0.00178,0.03143,-0.00214,0.00316,0.01439,0.01409,-0.00960,0.00608
2020-12,-0.00196,0.00799,0.00417,-0.00046,-0.01362,0.00062,-0.01240,0.06098,0.05093,-0.01738,0.04030,-0.00273,0.03744,-0.00171,0.00190,0.01166,0.01304,-0.01053,0.00474
2021-01,0.00223,0.00545,0.00045,-0.00462,-0.01357,0.00129,-0.00896,0.05946,0.05034,-0.01857,0.04012,-0.00162,0.03417,-0.00316,0.00244,0.01463,0.01402,-0.00772,0.00394
2021-02,0.00011,0.01037,-0.00247,0.00424,-0.01098,0.00288,-0.01151,0.06006,0.05284,-0.01582,0.03650,-0.00481,0.03424,-0.00145,0.00234,0.01786,0.01703,-0.00908,0.00571
2021-03,0.00077,0.00907,-0.00142,0.00256,-0.01147,0.00309,-0.01032,0.06294,0.05425,-0.01347,0.03691,-0.00542,0.03695,-0.00175,0.00218,0.01501,0.01482,-0.01074,0.00572
2021-04,0.00078,0.00446,0.00710,0.00008,-0.01101,0.00201,-0.00746,0.06260,0.05502,-0.01392,0.04048,-0.00394,0.03924,-0.00103,0.00370,0.01356,0.01258,-0.01216,0.00424
2021-05,-0.00438,0.00960,0.00333,0.00725,-0.01407,0.00239,-0.00990,0.06322,0.05552,-0.01450,0.03815,-0.00450,0.03708,-0.00183,0.00317,0.01541,0.01607,-0.01146,0.00281
2021-06,0.00135,-0.00247,-0.00692,0.00368,-0.00996,0.00110,-0.00863,0.06306,0.05510,-0.01254,0.03884,-0.00307,0.03629,-0.00189,0.00359,0.01364,0.01197,-0.00945,0.00608
2021-07,-0.07698,0.21455,0.08686,0.35044,0.12539,0.00020,-0.56514,0.34746,0.47639,0.41624,0.26049,-0.67430,0.21196,0.11449,0.52598,0.25450,0.22661,-0.17188,0.21033
2021-08,-0.13675,0.12392,0.39117,0.06414,0.23486,-0.12069,-0.68295,0.13960,0.32929,0.41163,-0.02392,-0.55477,0.16702,0.17186,0.56112,0.40551,0.34479,0.21984,0.36935
2021-09,-0.11247,0.28744,0.16348,0.08151,0.24933,-0.09879,-0.67513,0.14976,0.42203,0.41203,-0.02144,-0.58438,0.23161,0.16242,0.56879,0.40431,0.31629,0.21832,0.37569
2021-10,-0.10610,-0.08850,0.20698,0.07077,0.25405,-0.13698,-0.69039,0.17694,0.45134,0.40911,-0.02420,-0.57071,0.22614,0.18367,0.57707,0.41549,0.31829,0.18802,0.36835
2021-11,-0.12091,0.21545,0.07786,0.11417,0.24787,-0.16953,-0.70176,0.15936,0.41452,0.40495,0.00567,-0.61436,0.21471,0.13769,0.57372,0.41808,0.33157,0.19599,0.38164
2021-12,-0.09290,-0.10886,0.10088,0.09996,0.23391,-0.15212,-0.68406,0.15761,0.44708,0.42478,-0.00679,-0.60942,0.22455,0.13033,0.56723,0.42329,0.33457,0.19571,0.35759
2022-01,-0.07932,-0.10565,0.15199,0.24865,0.23606,-0.18865,-0.68065,0.13268,0.39770,0.37967,0.01682,-0.60359,0.19716,0.09155,0.55659,0.42427,0.32875,0.20582,0.38746
2022-02,-0.09493,0.22854,0.07180,0.20512,0.24504,-0.21799,-0.68034,0.12435,0.39270,0.39589,0.00426,-0.61680,0.18183,0.10051,0.56643,0.42633,0.34406,0.20656,0.40089
2022-03,-0.11578,0.23688,0.13246,0.19438,0.25186,-0.19788,-0.67851,0.11878,0.39265,0.40066,-0.00103,-0.62766,0.15921,0.10563,0.55889,0.43112,0.36213,0.19013,0.38918
2022-04,-0.09512,-0.03711,0.01668,0.14151,0.24880,-0.21124,-0.67744,0.10829,0.38062,0.37883,0.00219,-0.59172,0.17455,0.12272,0.56466,0.42687,0.34012,0.20246,0.39661
2022-05,-0.08730,-0.04504,0.09938,0.15209,0.26400,-0.21723,-0.66934,0.11286,0.37900,0.40168,0.03882,-0.61559,0.17909,0.14282,0.56284,0.42122,0.33133,0.17679,0.37261
2022-06,-0.10181,0.08365,-0.01205,0.15198,0.26727,-0.22360,-0.66565,0.10682,0.38151,0.41616,-0.00349,-0.63178,0.16922,0.10730,0.56573,0.43750,0.34240,0.17958,0.40151
2022-07,0.11464,0.03857,0.28394,0.09871,0.15641,-0.13943,-0.17720,0.61014,0.67755,0.02836,0.29174,-0.05775,0.61293,0.30404,0.33159,0.12332,-0.05611,0.16691,0.18394
2022-08,-0.02475,-0.10737,0.16645,-0.15391,0.32358,-0.01893,-0.20892,0.70359,0.74977,0.08071,0.31278,-0.18190,0.57604,0.57530,0.30844,0.11611,0.02323,-0.17479,0.23158
2022-09,-0.02355,0.14475,0.04545,-0.16073,0.32350,0.02291,-0.22608,0.72358,0.76227,0.07232,0.28225,-0.18021,0.58464,0.60977,0.31070,0.13261,0.04348,-0.16619,0.27645
2022-10,-0.05441,0.01582,0.24530,-0.07895,0.30576,-0.00057,-0.24222,0.67559,0.73199,0.09362,0.31534,-0.21835,0.57211,0.58709,0.30427,0.13058,0.05257,-0.18799,0.23724
2022-11,-0.03768,0.06671,0.09599,-0.10275,0.32989,0.01586,-0.22586,0.69908,0.75112,0.08771,0.31864,-0.18870,0.58038,0.60925,0.31719,0.12712,0.04588,-0.17310,0.22252
2022-12,-0.02649,0.02521,0.10494,-0.06605,0.30683,0.00890,-0.23933,0.68298,0.73246,0.07707,0.28332,-0.17483,0.56778,0.60035,0.30599,0.12576,0.04616,-0.16870,0.24217
2023-01,-0.03204,0.05454,0.14410,-0.02092,0.31939,-0.01900,-0.24094,0.67355,0.73178,0.07554,0.37069,-0.17690,0.56128,0.58954,0.34158,0.14478,0.06285,-0.16963,0.24381
2023-07,-0.14284,-0.17647,0.02957,0.00644,0.33591,0.00248,-0.45265,0.45194,0.50163,0.00344,0.08228,-0.39252,0.30094,0.42719,0.35400,0.41850,0.34072,-0.13498,0.41990
2023-08,-0.21119,-0.03299,-0.05139,-0.14686,0.23257,-0.26147,-0.34094,0.00117,0.01584,-0.08084,0.12003,-0.36998,-0.04969,-0.14051,0.33149,0.32020,0.23908,-0.17210,0.36251
2024-01,-0.22485,0.10659,-0.15454,-0.12072,0.26782,-0.25241,-0.36827,0.00146,0.01847,-0.07483,0.13904,-0.37744,-0.04152,-0.14901,0.34141,0.31744,0.20746,-0.17480,0.38299
2024-02,-0.24315,-0.05816,-0.16375,-0.11320,0.29276,-0.25799,-0.37477,0.00900,0.04161,-0.04026,0.15511,-0.37667,-0.02915,-0.13110,0.33621,0.30996,0.20345,-0.20966,0.35419
2024-03,-0.23348,-0.02102,-0.20926,-0.10207,0.29161,-0.26065,-0.36189,0.02761,0.05503,-0.04282,0.12834,-0.39229,-0.00917,-0.11800,0.34170,0.28942,0.16835,-0.19633,0.37416
2024-04,-0.22833,-0.07419,-0.27106,-0.07529,0.27249,-0.26763,-0.39585,-0.00503,0.01061,-0.08752,0.12606,-0.38860,-0.04901,-0.13815,0.35844,0.31432,0.21558,-0.19476,0.36794
2024-05,-0.20983,0.00639,-0.13546,-0.06338,0.28683,-0.27379,-0.36097,0.00275,0.02721,-0.06165,0.15395,-0.34477,-0.02640,-0.13666,0.33183,0.27241,0.16366,-0.13809,0.38256
2024-06,-0.17609,0.22276,-0.05522,-0.08425,0.26868,-0.23854,-0.36825,-0.00031,0.02099,-0.06274,0.13678,-0.35216,-0.03632,-0.13836,0.33153,0.28841,0.16662,-0.18468,0.39062
2024-07,0.01453,-0.14730,0.20545,0.16965,-0.23824,0.18180,0.50317,-0.18356,-0.28582,-0.17259,-0.18951,0.32541,-0.12447,-0.02539,-0.45688,-0.32252,-0.09098,0.57110,-0.31047
2024-08,-0.01002,0.07110,0.22018,0.09274,-0.30148,-0.09919,0.44571,-0.39028,-0.47853,-0.19465,-0.09453,0.51941,-0.37273,-0.26810,-0.42513,-0.37935,-0.13923,0.54354,-0.34915
2024-09,0.01642,0.10816,0.29004,0.00179,-0.31241,-0.11674,0.46214,-0.39064,-0.45297,-0.18741,-0.11257,0.56695,-0.37729,-0.25081,-0.40169,-0.37444,-0.13133,0.56124,-0.39129
2024-10,0.04859,0.25677,0.24373,0.01481,-0.35237,-0.08795,0.51227,-0.40206,-0.47516,-0.23586,-0.12021,0.54982,-0.39067,-0.24421,-0.42012,-0.38113,-0.12978,0.57336,-0.40362
2024-11,0.02588,0.00268,0.14883,0.03805,-0.27696,-0.14164,0.45106,-0.42119,-0.50703,-0.19160,-0.12372,0.52958,-0.42558,-0.25424,-0.42651,-0.34735,-0.13781,0.54120,-0.34989
2024-12,-0.01562,0.06049,0.12335,0.06758,-0.27439,-0.14309,0.44583,-0.43049,-0.50031,-0.18749,-0.12505,0.50467,-0.42988,-0.26676,-0.38688,-0.32396,-0.13501,0.53917,-0.35346
2025-01,-0.02037,-0.15839,0.22191,0.04916,-0.26309,-0.14353,0.43745,-0.45529,-0.54021,-0.19339,-0.13892,0.51018,-0.46637,-0.28563,-0.39829,-0.30036,-0.09248,0.57613,-0.36555
2025-02,0.03091,0.11775,0.08549,0.09233,-0.27095,-0.17169,0.49117,-0.42900,-0.53756,-0.23712,-0.12080,0.52946,-0.46825,-0.28989,-0.38462,-0.32054,-0.13750,0.58085,-0.32266
2025-03,0.00183,-0.01407,-0.01932,0.11413,-0.23856,-0.19717,0.43456,-0.42111,-0.52325,-0.19383,-0.13918,0.48786,-0.43326,-0.28649,-0.34734,-0.29665,-0.13519,0.54339,-0.26843
2025-04,0.03059,0.11171,0.11937,0.10525,-0.24478,-0.20437,0.45441,-0.40438,-0.52926,-0.24314,-0.11132,0.53213,-0.43152,-0.29548,-0.59729,-0.32042,-0.15044,0.59478,-0.26179
2025-05,0.01003,0.04397,0.11297,0.01807,-0.26665,-0.21148,0.46468,-0.38710,-0.49847,-0.20738,-0.10276,0.54010,-0.41473,-0.25030,-0.60488,-0.30102,-0.13082,0.56267,-0.32586
2025-06,0.04899,-0.18373,0.08890,0.05527,-0.24985,-0.20463,0.49084,-0.42790,-0.55482,-0.26183,-0.12477,0.55754,-0.46984,-0.29819,-0.61239,-0.30634,-0.14965,0.60449,-0.26009
2025-07,0.01422,-0.00514,-0.03211,-0.00862,-0.00344,-0.01666,0.01941,-0.00916,-0.00350,0.00484,0.00272,0.03655,0.00022,0.01257,-0.02903,-0.01944,-0.02383,0.02326,0.00977
