month,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,ig,dist,oscore,cbop,dy
2020-07,-0.03961,0.03178,0.02656,0.02328,0.01236,-0.02227,-0.04054,-0.02115,-0.01524,0.00151,0.01050,-0.02981,-0.02344,-0.00024,-0.00357,0.04375,0.04899,0.01631,0.02730
2020-08,-0.02464,0.03267,0.02784,0.01279,0.00270,0.01289,-0.03817,-0.00624,0.00510,0.01525,0.01730,-0.03151,-0.01293,-0.00683,-0.00383,0.04004,0.04627,0.00304,0.01662
2020-09,-0.02619,0.01859,0.02071,0.02033,0.00336,0.01473,-0.03751,-0.00390,0.00453,0.01118,0.01708,-0.02757,-0.01154,-0.00525,-0.00393,0.03905,0.04703,0.00745,0.01483
2020-10,-0.02731,0.03536,0.02334,0.01641,0.00179,0.01467,-0.03880,-0.00094,0.00989,0.01177,0.01747,-0.03256,-0.01085,-0.00571,-0.00290,0.04116,0.04794,0.00386,0.02864
2020-11,-0.03184,0.02485,0.02053,0.02708,0.00037,0.01496,-0.03601,-0.00234,0.00906,0.01152,0.01820,-0.02903,-0.01034,-0.00612,-0.00287,0.03767,0.04632,0.00423,0.01941
2020-12,-0.02634,0.02978,0.02630,0.00286,0.00521,0.01342,-0.03903,-0.00343,0.00166,0.01282,0.01699,-0.03196,-0.01028,-0.00287,-0.00286,0.03553,0.04424,0.00567,0.02275
2021-01,-0.01897,0.00972,0.01644,0.01069,0.00555,0.01472,-0.03269,-0.00221,0.00520,0.01102,0.01545,-0.02460,-0.00967,-0.00801,-0.00212,0.03807,0.04221,0.00867,0.02509
2021-02,-0.02112,0.02458,0.01447,0.01418,0.00896,0.01662,-0.03359,-0.00295,0.00611,0.01038,0.01325,-0.02642,-0.01234,-0.00848,-0.00436,0.04169,0.04539,0.00602,0.02941
2021-03,-0.02957,0.02377,0.01528,0.01473,0.00503,0.01548,-0.03658,-0.00036,0.00808,0.01311,0.01669,-0.03091,-0.00705,-0.00011,-0.00333,0.03770,0.04569,0.00131,0.01915
2021-04,-0.01819,0.02435,0.02213,0.00491,0.00918,0.01672,-0.03067,-0.00049,0.00715,0.00949,0.01791,-0.02754,-0.00683,-0.00828,-0.00318,0.03992,0.04156,0.00318,0.02709
2021-05,-0.02260,0.03475,0.02105,0.01527,0.00486,0.01458,-0.03345,-0.00216,0.00701,0.01382,0.01674,-0.02930,-0.00903,-0.00247,-0.00331,0.03932,0.04565,0.00157,0.02085
2021-06,-0.00760,0.02488,0.00986,0.00490,0.01423,0.00619,-0.03217,-0.00686,0.00129,0.01314,0.01683,-0.02503,-0.01174,-0.00453,-0.00367,0.03616,0.03330,0.00781,0.03079
2021-07,0.33746,0.17551,0.02501,0.19493,0.11435,-0.19749,0.09577,0.75601,0.67126,0.00863,0.36451,-0.06826,0.59814,0.07713,0.39165,-0.10246,-0.28383,-0.14401,0.32347
2021-08,0.30938,0.06844,0.56343,0.02289,0.20028,-0.24068,-0.13905,0.69374,0.72263,-0.00816,0.35436,0.07456,0.69872,0.24732,0.46347,0.08016,-0.19792,0.19559,0.34551
2021-09,0.29670,0.08228,0.35119,0.03370,0.20525,-0.22755,-0.13215,0.71313,0.83771,-0.00792,0.36507,0.04609,0.82461,0.19892,0.46846,0.06375,-0.22720,0.20123,0.38532
2021-10,0.29230,-0.14631,0.32606,-0.09129,0.20492,-0.31635,-0.14962,0.74172,0.85343,-0.00835,0.38546,0.05162,0.80305,0.16413,0.46607,0.07970,-0.21714,0.17258,0.36052
2021-11,0.27735,0.00750,0.12575,-0.05476,0.21008,-0.34495,-0.15203,0.70528,0.80010,-0.00078,0.38247,-0.00377,0.77292,0.15994,0.46634,0.05556,-0.22177,0.17518,0.38538
2021-12,0.30717,-0.18415,0.27294,0.03796,0.19116,-0.31476,-0.14079,0.75248,0.89581,0.01979,0.38201,0.01081,0.85275,0.16151,0.46347,0.07585,-0.20772,0.17344,0.36880
2022-01,0.27732,0.16125,0.26567,0.12752,0.17944,-0.35032,-0.12718,0.70381,0.80751,-0.02628,0.40255,0.01269,0.81166,0.09902,0.46174,0.04692,-0.22534,0.19081,0.38366
2022-02,0.29039,0.07757,0.21288,0.04327,0.20706,-0.37332,-0.11235,0.72013,0.82429,-0.05227,0.40150,0.02062,0.81295,0.14324,0.46679,0.07630,-0.21230,0.19403,0.39296
2022-03,0.26412,0.17714,0.32541,0.12466,0.18436,-0.35756,-0.13235,0.70205,0.79280,-0.05891,0.40238,0.00782,0.76742,0.11225,0.46588,0.07206,-0.17181,0.19455,0.37880
2022-04,0.29208,-0.00986,0.19030,0.10180,0.20245,-0.38014,-0.13129,0.71866,0.81000,-0.06187,0.40635,0.03821,0.76951,0.12628,0.47024,0.08716,-0.19619,0.19553,0.39364
2022-05,0.27313,0.07737,0.24681,0.12898,0.18414,-0.34814,-0.11406,0.73698,0.81748,-0.05452,0.43441,0.03136,0.81210,0.15772,0.48165,0.07074,-0.19102,0.20293,0.38868
2022-06,0.25376,0.01478,0.15857,0.12675,0.18999,-0.34043,-0.10510,0.71915,0.79273,-0.04065,0.40707,0.01512,0.76243,0.10690,0.48247,0.09078,-0.17280,0.19740,0.39749
2022-07,0.08250,0.06903,0.39009,0.21707,0.18242,-0.22303,-0.32724,0.35353,0.36880,-0.22116,0.22767,-0.19055,0.21416,0.03940,0.60573,0.46107,0.27372,0.28136,0.22963
