month,mom,ag,ac,noa,nsi,gp,cei,ita,ig,dist,oscore
2020-07,-0.00513,0.01370,0.01283,-0.01408,0.01546,0.01603,0.02675,0.02771,-0.01571,-0.00880,-0.02011
2020-08,-0.00612,0.01502,0.01690,-0.01480,0.01644,0.01939,0.02306,0.02237,-0.02090,-0.00904,-0.01663
2020-09,-0.00602,0.01502,0.01696,-0.01465,0.01634,0.01920,0.02304,0.02271,-0.02101,-0.00894,-0.01647
2020-10,-0.00614,0.01517,0.01711,-0.01500,0.01628,0.01962,0.02319,0.02259,-0.02113,-0.00909,-0.01667
2020-11,-0.00599,0.01525,0.01728,-0.01505,0.01571,0.02011,0.02342,0.02347,-0.02165,-0.00951,-0.01692
2020-12,-0.00621,0.01730,0.01521,-0.01670,0.01503,0.02109,0.02399,0.02444,-0.02234,-0.01022,-0.01744
2021-01,-0.00631,0.01735,0.01519,-0.01692,0.01512,0.02143,0.02408,0.02405,-0.02221,-0.01038,-0.01767
2021-02,-0.00622,0.01750,0.01540,-0.01664,0.01482,0.02146,0.02425,0.02444,-0.02328,-0.01050,-0.01763
2021-03,-0.00623,0.01746,0.01538,-0.01648,0.01475,0.02139,0.02428,0.02464,-0.02338,-0.01055,-0.01764
2021-04,-0.00613,0.01759,0.01543,-0.01658,0.01492,0.02143,0.02441,0.02399,-0.02293,-0.01073,-0.01790
2021-05,-0.00606,0.01767,0.01557,-0.01638,0.01426,0.02163,0.02452,0.02534,-0.02378,-0.01083,-0.01774
2021-06,-0.00614,0.01783,0.01574,-0.01622,0.01456,0.02142,0.02480,0.02482,-0.02332,-0.01097,-0.01788
2021-07,0.18147,0.68663,0.72404,0.26778,0.27248,-0.39546,0.54289,0.19252,0.62694,-0.06030,-0.00240
2021-08,-0.00248,0.71881,0.85591,0.26321,0.16777,-0.30651,0.70447,0.38201,0.71317,0.09063,-0.02244
2021-09,0.00440,0.73221,0.94562,0.24892,0.16548,-0.31665,0.79971,0.32828,0.70806,0.07267,-0.04439
2021-10,0.00066,0.72542,0.93728,0.24863,0.16311,-0.32125,0.79009,0.32517,0.70757,0.07471,-0.04217
2021-11,-0.00830,0.71181,0.91497,0.24272,0.16206,-0.32272,0.76939,0.31065,0.70775,0.06771,-0.04966
2021-12,-0.01348,0.69630,0.92153,0.24577,0.16455,-0.32498,0.77590,0.29763,0.70706,0.05734,-0.05759
2022-01,-0.01266,0.70225,0.91310,0.22343,0.16969,-0.32922,0.77645,0.30651,0.70491,0.07292,-0.04200
2022-02,-0.01990,0.69343,0.90468,0.22501,0.16566,-0.32296,0.76951,0.30161,0.70533,0.07198,-0.04356
2022-03,-0.02777,0.68017,0.89252,0.22895,0.15366,-0.31583,0.75636,0.29439,0.70462,0.07445,-0.04080
2022-04,-0.03327,0.67104,0.88139,0.22767,0.15000,-0.31242,0.73815,0.28410,0.70316,0.07028,-0.04332
2022-05,-0.03546,0.66623,0.87562,0.23080,0.15024,-0.30993,0.73467,0.27980,0.70354,0.06450,-0.04959
2022-06,-0.03945,0.66132,0.86498,0.23018,0.13939,-0.30866,0.72077,0.28115,0.70263,0.07531,-0.04089
2022-07,0.03051,0.52999,0.70737,0.25557,0.47455,-0.02940,0.69508,0.29208,0.44297,-0.09167,-0.14490
2022-08,0.06722,0.42806,0.55522,0.13325,0.32124,-0.04806,0.44443,0.39685,0.25896,0.03288,-0.03973
2022-09,0.06945,0.41698,0.54504,0.13371,0.31416,-0.04546,0.43687,0.38507,0.25901,0.02908,-0.04292
2022-10,0.07011,0.42691,0.55263,0.13348,0.31635,-0.04767,0.44587,0.39284,0.25569,0.03018,-0.04342
2022-11,0.07072,0.43021,0.55496,0.13284,0.31749,-0.04765,0.44820,0.39562,0.25394,0.03105,-0.04311
2022-12,0.07004,0.42577,0.55178,0.13370,0.31596,-0.04746,0.44507,0.39187,0.25554,0.02981,-0.04365
2023-01,0.07038,0.41503,0.54437,0.13811,0.31042,-0.04534,0.43985,0.38049,0.25713,0.02247,-0.05012
2023-07,-0.15380,1.00458,1.14365,0.20404,0.74685,-0.17295,1.03928,0.69792,0.47918,-0.17038,-0.21179
2023-08,-0.15411,0.82533,0.90263,0.40448,0.77133,0.10947,0.85954,0.37824,0.39604,-0.51087,-0.35287
2024-01,-0.14107,0.85121,0.91900,0.36221,0.78815,0.14760,0.87676,0.43751,0.38845,-0.51772,-0.35830
2024-02,-0.11597,0.85642,0.92702,0.37649,0.78051,0.16984,0.89803,0.42674,0.38254,-0.55881,-0.40718
2024-03,-0.12000,0.86321,0.92856,0.36115,0.78880,0.16725,0.89712,0.44127,0.38257,-0.54439,-0.38921
2024-04,-0.11740,0.85808,0.92961,0.36085,0.78605,0.16880,0.89987,0.43564,0.38255,-0.54456,-0.39406
