window,alpha
0,0.10212501
0,0.05997896
0,-0.00452629
0,0.00512339
0,0.00873111
0,-0.02497990
0,0.06002318
0,0.06077241
0,-0.02281163
0,-0.09717742
0,0.03378290
0,0.01544187
0,0.02489047
0,0.00402575
0,-0.01586793
0,0.02753130
0,0.00845288
0,-0.04150867
0,0.13667028
0,-0.00874790
0,0.00510038
0,0.00400988
0,0.05951892
0,0.14164004
0,-0.00579763
0,0.11617306
0,-0.01671606
0,0.06789047
0,0.08862096
0,0.07374361
0,0.03862135
0,0.14207801
0,0.02499063
0,0.15252614
0,-0.02231227
0,-0.01902441
0,0.04021226
0,0.06480251
0,0.12336877
0,0.15588726
0,-0.02410664
0,0.03771422
0,0.08653542
0,-0.03406534
0,0.03348469
0,0.04434173
0,0.06731483
0,0.02329305
0,0.00476593
0,-0.01041047
0,0.06413243
0,0.04853468
0,0.07101006
0,0.01722250
0,0.33996740
0,0.02606525
0,0.05854236
0,0.06044341
0,0.03393225
0,0.07544737
0,0.05554166
0,-0.02084555
0,0.07002845
0,0.11948629
0,0.03157116
0,-0.07066456
0,-0.01435347
0,0.07145118
0,0.01469132
0,0.07012535
0,0.05302821
0,-0.00672233
0,-0.00836413
0,-0.06606104
0,-0.03945049
0,-0.03263018
0,-0.04651837
0,0.01845149
0,0.13718297
0,0.18772952
0,-0.04067684
0,0.20382382
0,0.08496081
0,0.03054401
0,-0.01216826
0,-0.00385028
0,0.13454925
0,0.12819757
0,0.04023059
0,0.07341701
0,0.08934938
0,0.03506983
0,-0.00001137
0,-0.01538906
0,-0.02039031
0,-0.04743021
0,0.17421854
0,0.09039200
0,0.02941149
0,0.09611017
0,0.04408407
0,-0.02743950
0,-0.01784033
0,0.05927360
0,-0.01066636
0,0.02586744
0,0.03079252
0,0.01082647
0,-0.01031767
0,0.02885636
0,0.01097048
0,-0.00781854
0,-0.02228583
0,0.00396976
0,-0.01862910
0,-0.00813644
0,0.01971661
0,0.05997184
0,0.02008932
0,0.04056407
0,0.05507034
0,0.07554226
0,0.18979371
0,-0.02337969
0,0.01659286
0,-0.01141079
0,0.00057970
0,0.00081706
0,-0.01914551
0,0.02428980
0,-0.01918416
0,0.00004572
0,-0.02279059
0,-0.00115413
0,-0.02154310
0,-0.02521487
0,0.04568776
0,0.05435021
0,0.00801816
0,0.03515919
0,0.03146437
0,0.01958596
0,-0.01613309
1,0.06236235
1,-0.00983836
1,-0.00024539
1,0.04895441
1,0.00462120
1,0.10469005
1,0.06415304
1,0.11161688
1,-0.02015216
1,0.09632421
1,-0.00057653
1,0.06288450
1,0.00747887
1,0.05867689
1,-0.01341897
1,0.02027214
1,0.02768291
1,0.07200421
1,0.07084458
1,0.02785821
1,-0.00608012
1,0.00617053
1,-0.00539637
1,0.00702926
1,-0.03928577
1,-0.03521152
1,0.02314974
1,-0.00364524
1,0.03140390
1,-0.03881332
1,0.02250489
1,0.02212367
1,-0.01842284
1,0.04193428
1,-0.00202094
1,0.02615829
1,0.03703639
1,-0.02531043
1,0.03653073
1,-0.04530686
1,-0.00967818
1,0.00716900
1,-0.01689880
1,-0.04785587
1,0.07391982
1,-0.03009933
1,-0.00398923
1,0.00924777
1,0.02324504
1,0.04224856
1,-0.00455450
1,0.05361418
1,-0.00037172
1,-0.00245521
1,0.06731451
1,0.02789771
1,0.09249147
1,-0.02525960
1,0.03174605
1,0.02239528
1,-0.06049581
1,0.00652258
1,0.01796109
1,-0.00578642
1,0.00921338
1,0.01722536
1,0.01532767
1,-0.03278929
1,0.02761727
1,-0.02384848
1,-0.01698987
1,-0.05651082
1,-0.04969244
1,0.02895713
1,-0.07892622
1,-0.02623175
1,-0.02024374
1,0.07686555
1,0.03978987
1,-0.07537461
1,0.03874142
1,-0.03836826
1,-0.02021248
1,-0.00087103
1,0.05818625
1,-0.04465102
1,0.06629418
1,-0.01597317
1,0.06731168
1,-0.00043587
1,0.00599089
1,-0.05531670
1,0.01287715
1,-0.06540369
1,0.02500930
1,-0.02921480
1,0.05713880
1,-0.02967706
1,-0.04629944
1,0.06605922
1,0.02285364
1,-0.02572306
1,0.02243467
1,-0.00598991
1,-0.00336483
1,0.02446484
1,0.00192601
1,0.05522404
1,-0.00908073
1,0.02074751
1,0.02537162
1,0.00478590
1,-0.01513551
1,0.09114239
1,-0.09493427
1,0.05302645
1,0.04564150
1,0.06927477
1,0.00214711
1,0.06665922
1,-0.03157109
1,-0.04751928
1,-0.01301710
1,-0.02376860
1,0.02813068
1,0.04780089
1,-0.01106165
1,0.08706180
1,0.01464467
1,0.03329707
1,0.01011091
1,0.01002970
1,0.03004934
1,0.00557430
1,0.07483470
1,-0.04398644
1,0.12022316
1,0.00957766
1,-0.03683311
1,-0.00632044
1,-0.00882426
1,-0.03129245
1,-0.01487730
2,0.02134197
2,0.15178134
2,0.03366783
2,0.05353534
2,0.05317587
2,0.07640518
2,-0.00146680
2,0.02309852
2,0.07845161
2,0.05554703
2,0.07016901
2,0.00528377
2,0.01615806
2,0.01853699
2,0.05267608
2,0.07062815
2,0.05575697
2,0.05693885
2,0.03655054
2,0.03416103
2,-0.03988302
2,0.02944194
2,0.10114956
2,-0.03557085
2,0.03497113
2,0.07150824
2,0.05743546
2,0.06223395
2,0.05982888
2,0.06094430
2,0.00430628
2,0.02819854
2,0.05956516
2,0.06212211
2,0.01368900
2,0.03928605
2,0.05927906
2,-0.08063137
2,-0.01011548
2,0.13291153
2,0.06515838
2,0.11238964
2,0.08171491
2,0.04327896
2,0.10931300
2,0.06089277
2,-0.01410437
2,0.06813604
2,0.04515711
2,-0.05334464
2,-0.00567041
2,0.01620493
2,0.08338691
2,0.08070848
2,0.00674536
2,0.01564403
2,-0.00352855
2,0.11989368
2,0.04948613
2,-0.00039852
2,-0.03875555
2,0.06589048
2,0.04832157
2,0.04908365
2,0.01306220
2,0.13535115
2,0.00021350
2,0.09087860
2,0.03744340
2,0.00054717
2,0.03641341
2,-0.00162666
2,0.01972714
2,0.00948089
2,0.04282937
2,-0.00129802
2,0.02975998
2,-0.02026492
2,-0.01222401
2,0.04754507
2,-0.02123820
2,0.04285240
2,0.00899731
2,0.04585624
2,-0.01861302
2,-0.02146080
2,0.03194851
2,0.15907659
2,0.01890825
2,-0.01298270
2,0.02123378
2,0.01536754
2,0.10392457
2,0.02629448
2,0.04695208
2,0.09156370
2,-0.05258488
2,0.01807881
2,0.00681944
2,-0.03407542
2,0.07915587
2,0.02080403
2,0.07482284
2,-0.00544890
2,0.02226035
2,0.03317359
2,0.09063574
2,0.09610474
2,0.00234308
2,0.04798714
2,0.01856766
2,0.00050374
2,0.07012539
2,-0.01025339
2,0.05066488
2,0.04094058
2,0.03379108
2,0.03493112
2,0.00523833
2,0.05067834
2,-0.01122046
2,0.03487336
2,0.02643055
2,0.05278961
2,0.09003184
2,0.02666971
2,0.06305004
2,0.11410397
2,0.04107172
2,0.05022420
2,0.06111479
2,0.06647633
2,0.07138394
2,0.00306708
2,0.03439047
2,0.08837406
2,0.18702324
2,0.06802148
2,0.04520363
2,0.05600652
3,-0.01164944
3,0.13350599
3,0.07438030
3,0.08600850
3,-0.00278096
3,0.11819224
3,-0.00102966
3,0.02386135
3,-0.11594892
3,0.01580098
3,-0.01365173
3,0.00585992
3,0.04852090
3,-0.02798315
3,0.01075028
3,0.01086309
3,-0.05810701
3,-0.04107550
3,0.02862592
3,0.06887070
3,0.00328402
3,-0.04390965
3,-0.00423253
3,0.03320043
3,0.04715017
3,-0.00139885
3,0.02642254
3,-0.04478058
3,-0.00817595
3,0.00102189
3,0.01747531
3,-0.00466380
3,0.12990710
3,0.02043230
3,0.00834736
3,0.05066582
3,0.07678699
3,0.01286786
3,-0.04737636
3,0.01412013
3,0.06993009
3,0.03676349
3,-0.00221413
3,-0.00203776
3,-0.00398146
3,-0.01258245
3,-0.02921571
3,-0.00648940
3,0.18186349
3,-0.03762657
3,0.01042821
3,0.00402175
3,-0.00236885
3,-0.05829005
3,0.02092082
3,0.02805195
3,0.01478469
3,0.00281360
3,0.02016924
3,0.10747996
3,-0.03462617
3,-0.03401787
3,0.02102217
3,-0.01292271
3,0.01837463
3,0.07625915
3,-0.00050644
3,0.00273778
3,0.00072942
3,0.11233813
3,-0.00187225
3,0.02263379
3,-0.01410513
3,0.02305378
3,0.13023506
3,0.01709724
3,0.06622908
3,0.04556004
3,0.08683471
3,-0.06414133
3,0.01044776
3,-0.02031475
3,-0.00458202
3,0.00141172
3,0.04644782
3,-0.01744119
3,-0.03449356
3,-0.00090273
3,0.10196692
3,-0.00415638
3,0.04430049
3,0.00879249
3,-0.02243927
3,0.06971303
3,-0.02981835
3,-0.11940880
3,0.07423276
3,-0.00194660
3,0.00672675
3,0.05875719
3,-0.01777025
3,0.05068178
3,0.01079949
3,-0.00250584
3,0.01529708
3,-0.01579073
3,0.06429515
3,0.01500170
3,-0.00899411
3,0.07470546
3,-0.10276169
3,0.11858217
3,-0.00935725
3,0.08601752
3,0.03342864
3,0.01412247
3,-0.02179242
3,0.02246350
3,-0.02362223
3,-0.02993085
3,0.01871611
3,-0.04505630
3,0.08512578
3,0.06730141
3,0.01223044
3,0.01189089
3,0.05418376
3,-0.01857343
3,0.00953499
3,0.00967554
3,0.06611291
3,0.02254170
3,0.11127900
3,-0.01052189
3,0.01257526
3,0.03338668
3,0.02469330
3,0.06885408
3,0.01152688
4,-0.07333401
4,-0.12540579
4,-0.15228833
4,-0.08019164
4,-0.04530919
4,-0.07259404
4,-0.11288244
4,-0.07510387
4,0.00836358
4,-0.07298043
4,-0.14437732
4,-0.04677672
4,-0.08420657
4,-0.02235041
4,0.04887104
4,-0.09454861
4,-0.08358319
4,-0.08019771
4,-0.08024923
4,-0.03143150
4,-0.08115273
4,-0.07240648
4,-0.05600610
4,-0.03614398
4,-0.18759120
4,-0.03916186
4,-0.13047613
4,-0.07359035
4,-0.06742860
4,-0.06620402
4,-0.12756866
4,-0.05197591
4,0.02447111
4,-0.04145674
4,0.05199580
4,-0.00057251
4,-0.07737157
4,-0.08972546
4,-0.05445928
4,-0.08074583
4,-0.11314406
4,-0.02401550
4,-0.08313163
4,-0.09600166
4,-0.05737849
4,-0.09050574
4,-0.16974002
4,-0.06345309
4,-0.09925412
4,0.04971595
4,-0.05944669
4,0.08210183
4,-0.07893609
4,-0.10015165
4,-0.09307650
4,0.00312458
