model,oos_return
LASSO-lagged,0.094942
LASSO-lagged,-0.070310
LASSO-lagged,0.214906
LASSO-lagged,-0.006275
LASSO-lagged,0.151602
LASSO-lagged,0.169817
LASSO-lagged,0.098319
LASSO-lagged,-0.018318
LASSO-lagged,-0.001488
LASSO-lagged,-0.064900
LASSO-lagged,-0.033980
LASSO-lagged,-0.093719
LASSO-lagged,0.009745
LASSO-lagged,0.002006
LASSO-lagged,-0.042324
LASSO-lagged,0.070327
LASSO-lagged,0.154542
LASSO-lagged,-0.000064
LASSO-lagged,0.035258
LASSO-lagged,-0.068611
LASSO-lagged,0.157103
LASSO-lagged,0.068149
LASSO-lagged,0.027370
LASSO-lagged,-0.028004
LASSO-lagged,0.067593
LASSO-lagged,0.169951
LASSO-lagged,0.006286
LASSO-lagged,0.243781
LASSO-lagged,0.272869
LASSO-lagged,0.113379
LASSO-lagged,-0.165632
LASSO-lagged,0.269259
LASSO-lagged,0.096385
LASSO-lagged,0.105929
LASSO-lagged,0.095520
LASSO-lagged,-0.061503
LASSO-lagged,0.041693
LASSO-lagged,-0.063640
LASSO-lagged,-0.021435
LASSO-lagged,-0.022404
LASSO-lagged,-0.162232
LASSO-lagged,-0.077813
LASSO-lagged,-0.089725
LASSO-lagged,0.026313
LASSO-lagged,-0.025691
LASSO-lagged,-0.056063
LASSO-lagged,-0.093843
LASSO-lagged,0.031920
LASSO-lagged,-0.077450
LASSO-lagged,-0.069666
LASSO-lagged,-0.014796
LASSO-lagged,0.070214
LASSO-lagged,-0.002670
LASSO-lagged,-0.045975
LASSO-lagged,-0.025851
LASSO-lagged,-0.075089
LASSO-lagged,0.004558
LASSO-lagged,0.103703
LASSO-lagged,-0.046134
LASSO-lagged,-0.042213
LASSO-lagged,0.060332
LASSO-lagged,-0.033292
