window,alpha
0,0.66857883
0,0.05221501
0,-0.01758656
0,0.00082493
0,-0.01231240
0,0.01522047
0,0.01715067
0,-0.03306531
0,0.07058827
0,0.06122837
0,0.17784874
0,-0.00018917
0,0.23423450
0,-0.00841094
0,0.01352086
0,0.00489768
0,0.06802417
0,0.06607810
0,0.16768711
0,0.13871300
0,0.03460732
0,-0.00593263
0,0.21609070
0,0.19290594
0,0.44179676
0,0.39451610
0,0.08043354
0,0.20160358
0,0.11082710
0,0.30256097
0,-0.06804595
0,-0.01780707
0,0.13404330
0,1.75519792
0,-0.06359916
0,0.13922390
0,0.10486224
0,0.10778823
0,0.48415725
0,0.31687892
0,0.00818416
0,-0.00438495
0,-0.02433598
0,0.18053123
0,0.12275584
0,0.81424394
0,0.01923481
0,0.11763653
0,-0.01804694
0,0.51059108
0,0.01477052
0,-0.02694381
0,-0.00647039
0,0.02462056
0,0.03111179
0,0.03142096
0,0.21645370
0,0.23079305
0,0.07331407
0,-0.01119217
0,-0.07769509
0,-0.00067819
0,0.18787575
0,0.10598198
0,-0.07776686
0,0.29116256
0,0.14237432
0,1.34983584
0,1.67508276
0,0.00024299
0,0.08645045
0,0.35813733
0,0.35323466
0,0.15191732
0,0.13771631
0,0.22567289
0,-0.02961877
0,0.29241600
0,-0.06335955
0,0.07447716
0,0.06595093
0,0.13359783
0,-0.01702526
0,-0.02462764
0,-0.00505846
0,-0.00146457
0,0.25242887
0,0.17353173
0,0.04414222
0,-0.00073981
0,0.11529015
0,0.14089165
0,0.07659287
0,0.01880951
0,0.03924411
0,1.84256253
0,0.00277226
0,0.06394834
0,-0.01540813
0,0.07561810
0,0.00114820
0,0.07770363
0,0.16981098
0,0.25408366
0,0.33338255
0,0.14906025
0,0.06016936
0,0.34628504
0,0.04758733
0,-0.01758367
0,0.00046406
0,0.01928759
0,0.20222582
0,0.13967436
0,-0.01213527
0,0.03979384
0,-0.05793754
0,0.00665473
0,0.00075618
0,0.00668413
0,0.10130425
0,-0.02705333
0,0.17395519
0,-0.07263873
0,0.09213027
0,-0.12884894
0,0.08214555
0,-0.03440510
0,0.04081101
0,0.51528394
0,0.07571269
0,-0.04839764
0,0.02819296
0,0.15465100
0,0.29874759
0,-0.02892796
0,-0.14357278
0,0.78177482
0,-0.02845631
0,0.17900279
0,0.29926568
0,-0.06700733
0,0.49641890
0,0.21998940
0,0.04981792
0,-0.08659304
0,0.14239547
0,0.16676236
0,-0.07270602
0,0.21806241
0,0.02842151
0,0.03892227
0,0.38453730
0,0.24047748
0,-0.02001829
0,0.04196844
0,-0.05108528
0,0.09004694
0,0.99007146
0,0.02807575
0,0.46350205
0,-0.12316833
0,0.16998287
0,0.08321201
0,-0.04205261
0,0.23811877
0,2.33609686
0,0.01851830
0,-0.05477458
0,0.14074380
0,-0.00541464
0,-0.03288011
0,0.68004151
0,-0.02054596
0,1.06498911
0,1.92712942
0,0.09165208
0,0.00133052
0,1.16471075
0,-0.04313965
0,-0.05165144
0,0.01628422
0,0.93152579
0,0.03190983
0,0.04878314
0,0.33729440
0,-0.01946110
0,0.02420802
0,-0.04902706
0,0.00691212
