model,sharpe,ev,rms_alpha_pct,max_alpha_pct,note
Market,1.0182183147221184,0.23211040679117756,6.863652320854966,32.72993636431621,benchmark
FF5,0.7119415303022726,0.15743263659525286,10.590175043097123,140.80069743963597,benchmark
q-factor,1.6147240292728096,0.20523790429226463,6.778726152006518,31.51715810868933,benchmark
PCA(5),0.5393632021193969,0.30939527321086513,6.864404089028543,27.87468351865339,benchmark
LASSO,0.7420963613748288,0.2783614362290979,7.639391043886766,31.772628319245467,benchmark
Linear SDF (20ch),0.5139,0.3033,13.8216,129.8426,"linear SDF (common, omega=theta'x)"
E2,0.2323,0.2804,6.0616,34.2757,11ch LSTM (cpz common SDF)
E3,0.2038,0.2891,5.9822,34.2509,20ch LSTM (cpz common SDF)
E4A,0.7155,0.3090,6.0027,32.5293,20ch const (cpz common SDF)
E4B,0.7024,0.2908,6.0099,32.2252,11ch const (cpz common SDF)
E5A,0.1715,0.2909,7.4355,34.2801,11ch LSTM critic (cpz common SDF)
E5B,0.2183,0.2805,7.4670,34.2881,20ch LSTM critic (cpz common SDF)
E8,0.2133,0.2756,6.1188,33.9967,11ch LSTM liq-filter (cpz common SDF)
E8B,0.5953,0.2881,5.5355,21.9449,20ch LSTM liq-filter (cpz common SDF)
