window,alpha
0,0.10383932
0,0.06033798
0,-0.00441971
0,0.00544442
0,0.00908275
0,-0.02478432
0,0.06030991
0,0.06118928
0,-0.02267775
0,-0.09710535
0,0.03419533
0,0.01540813
0,0.02521276
0,0.00425823
0,-0.01573355
0,0.02784410
0,0.00906424
0,-0.04126379
0,0.13772584
0,0.08658001
0,-0.00836806
0,0.00534312
0,0.00447259
0,0.06007725
0,0.10959218
0,0.14259030
0,-0.01664146
0,0.06820814
0,0.08878721
0,0.07446896
0,0.03905182
0,0.14285983
0,0.02559761
0,0.15331182
0,-0.02215908
0,-0.01884326
0,0.04082722
0,0.06538844
0,0.12385252
0,0.15743621
0,-0.02392507
0,0.03800399
0,0.08701222
0,-0.03405637
0,0.03377309
0,0.04469680
0,0.06731314
0,0.02362753
0,0.00492956
0,-0.01014361
0,0.06445128
0,0.04924652
0,0.07151357
0,0.01754215
0,0.34423277
0,0.02617436
0,0.05911988
0,0.06060399
0,0.03443875
0,0.07614499
0,0.05640899
0,0.07022169
0,0.12018726
0,0.03182748
0,-0.07098299
0,-0.01417212
0,0.07203195
0,0.01494608
0,0.07059512
0,0.05363460
0,-0.00633108
0,-0.00820084
0,-0.06574591
0,-0.03835766
0,-0.03223177
0,-0.04641624
0,0.01904206
0,0.13796522
0,0.18853252
0,0.02910525
0,-0.04106968
0,0.20545660
0,0.08582478
0,0.03087986
0,-0.01148036
0,-0.00377724
0,0.13530689
0,0.12937064
0,0.04060312
0,0.07406046
0,0.08995759
0,0.25566545
0,0.03528957
0,0.00035477
0,-0.01510630
0,-0.02020950
0,-0.04730539
0,0.17634000
0,0.09092885
0,0.02990871
0,0.09686782
0,0.04424928
0,0.09155522
0,-0.02723612
0,0.21923535
0,-0.01771282
0,0.05961898
0,-0.01051002
0,0.02648062
0,0.03118145
0,0.01094796
0,-0.00992205
0,0.02904684
0,0.01119733
0,-0.00742566
0,-0.02220869
0,0.00418237
0,-0.01833272
0,-0.00802947
0,0.01982297
0,0.06059943
