window,alpha
0,0.09635753
0,0.05819286
0,-0.00496512
0,0.00356901
0,0.00722747
0,-0.02595682
0,0.05846395
0,0.05922491
0,-0.02356543
0,-0.09785092
0,0.03193881
0,0.01566083
0,0.02361847
0,0.00308603
0,-0.01626575
0,0.02627108
0,0.00609752
0,-0.04259172
0,0.13283594
0,0.08258875
0,-0.00979513
0,0.00378747
0,0.00206712
0,0.05728515
0,0.10492269
0,0.13766904
0,-0.01718047
0,0.06693129
0,0.08827290
0,0.07027478
0,0.03663215
0,0.13908781
0,0.02187924
0,0.14897370
0,-0.02366584
0,-0.02003887
0,0.03781507
0,0.06255310
0,0.12061859
0,0.14940444
0,-0.02473835
0,0.03662929
0,0.08463334
0,-0.03439847
0,0.03251736
0,0.04247294
0,0.06716415
0,0.02174763
0,0.00399400
0,-0.01150350
0,0.06224578
0,0.04588937
0,0.06903075
0,0.01532171
0,0.32579368
0,0.02568264
0,0.05565670
0,0.05979455
0,0.03195683
0,0.07300242
0,0.05257702
0,0.06913305
0,0.11666292
0,0.03008298
0,-0.06967521
0,-0.01536774
0,0.06874268
0,0.01342726
0,0.06740274
0,0.05082227
0,-0.00823098
0,-0.00928229
0,-0.06741671
0,-0.04295564
0,-0.03445341
0,-0.04711215
0,0.01587313
0,0.13361195
0,0.18417688
0,0.02810780
0,-0.03927423
0,0.19792993
0,0.08128127
0,0.02899506
0,-0.01452823
0,-0.00449307
0,0.13095291
0,0.12321379
0,0.03860974
0,0.07080113
0,0.08661547
0,0.24477763
0,0.03390087
0,-0.00163456
0,-0.01639940
0,-0.02123944
0,-0.04810727
0,0.16707909
0,0.08787017
0,0.02713186
0,0.09272259
0,0.04346336
0,0.08943053
0,-0.02868734
0,0.21324725
0,-0.01861327
0,0.05721766
0,-0.01150247
0,0.02383220
0,0.02927538
0,0.01039943
0,-0.01154622
0,0.02773493
0,0.01032296
0,-0.00941923
0,-0.02284721
0,0.00311890
0,-0.02013549
0,-0.00888007
0,0.01932677
0,0.05766870
0,0.01913398
0,0.03920459
0,0.05211926
0,0.07107713
0,0.18506043
0,0.17902786
0,-0.02430614
0,0.01591760
0,-0.01161118
0,0.00024464
0,0.00048026
0,-0.01957853
0,0.02322233
0,-0.02333569
0,-0.00166627
0,-0.02193181
0,-0.02684165
0,0.04419172
0,0.05350728
0,0.00595883
0,0.03351187
0,0.03062437
0,0.01746284
0,-0.01669726
1,0.06244336
1,-0.01062182
1,-0.00082356
1,0.04732801
1,0.01122107
1,0.00413826
1,0.10354050
1,0.06570739
1,0.11020079
1,-0.01956788
1,0.09685314
1,-0.00088530
1,0.06283247
1,0.00735592
1,0.05799373
1,-0.01476532
1,0.01896847
1,0.02826232
1,-0.02151240
1,0.07102365
1,0.07013956
1,0.02837037
1,-0.00560125
1,-0.05395627
1,0.00644550
1,-0.00598767
1,0.00682514
1,-0.03834004
1,-0.03488297
1,0.02269837
1,-0.00257545
1,0.03131665
1,-0.03918199
1,0.02207080
1,0.02183490
1,0.04090549
1,-0.00415635
1,0.02616552
1,0.03745871
1,-0.02541423
1,0.03710924
1,-0.04508844
1,-0.01065506
1,0.00773466
1,-0.01628997
1,-0.04943633
1,0.07290690
1,-0.02899616
1,-0.00428130
1,0.00894290
1,0.02287655
1,0.04090394
1,-0.00578713
1,0.05345600
1,0.00009835
1,-0.00227743
1,0.03065921
1,0.06649969
1,0.02655497
1,0.09421904
1,-0.02356681
1,0.02090635
1,-0.06040435
1,0.00646536
1,0.01757191
1,-0.00497727
1,0.00939402
1,0.01657438
1,0.01365809
1,-0.03283982
1,0.02891253
1,-0.02362530
1,-0.01673339
1,-0.04975457
1,0.02681877
1,-0.07770319
1,0.04228082
1,-0.02612514
1,-0.02055317
1,0.07807621
1,0.04017342
1,-0.07600508
1,0.03814040
1,-0.03913653
1,-0.02029149
1,-0.00123117
1,0.05796567
1,-0.04477440
1,0.06690980
1,-0.01913852
1,-0.02017093
1,0.06666880
1,-0.00115973
1,0.00501726
1,-0.05568868
1,0.01204896
1,-0.06443772
1,0.02616317
1,-0.02861342
1,0.05915843
1,-0.03002155
1,0.06546003
1,0.02020444
1,0.02324745
1,-0.00783332
1,-0.02533963
1,0.02170605
1,-0.00628242
1,-0.00376655
1,0.02418214
1,0.00050385
1,0.05600892
1,-0.00749895
1,0.02021956
1,0.02563033
1,0.00361045
1,-0.01559840
1,0.08781496
1,-0.09570572
1,0.05394829
1,0.04512024
1,0.07220785
1,0.00022582
1,0.06528714
1,-0.03155449
1,-0.04641747
1,-0.01387481
1,-0.02353380
1,0.00278558
1,0.02779106
1,0.04796458
1,-0.01244086
1,0.08773019
1,0.01420033
1,0.03324099
1,0.00954998
1,0.00971008
1,0.02956545
1,0.00423013
1,0.07430007
1,-0.04397229
1,0.12022070
1,0.00882815
1,-0.03715999
1,-0.00588102
1,-0.00809318
1,-0.03157762
1,-0.01502561
2,0.01352943
2,0.12683339
2,0.01876728
2,0.04384326
2,0.03228883
2,0.05601978
2,-0.01007179
2,0.01498216
2,0.07926811
2,0.04269481
2,0.04504881
2,-0.00252847
2,0.00472618
2,0.01077210
2,0.03377246
2,0.05595165
2,0.01408601
2,0.02838081
2,0.03961605
2,0.01781492
2,0.01017794
2,-0.01612307
2,-0.05611986
2,0.02260715
2,0.09059813
2,-0.04574855
2,0.02261096
2,0.05592250
2,0.04412639
2,0.04950317
2,0.04976318
2,0.03232337
2,-0.01257368
2,0.01188840
2,0.04811504
2,0.04519246
2,0.00276805
2,0.01741251
2,0.05108149
2,-0.10077232
2,-0.02179210
2,0.10834068
2,0.03997681
2,0.10770342
2,0.06564485
2,0.02802753
2,0.09395763
2,0.04135410
