window,alpha
0,0.10255036
0,0.05993523
0,-0.00443740
0,0.00522042
0,0.00879187
0,-0.02495159
0,0.05998566
0,0.06093046
0,-0.02274838
0,-0.09732418
0,0.01551187
0,0.02514043
0,0.00416745
0,-0.01599084
0,0.02753633
0,-0.04155729
0,0.13646749
0,0.08633020
0,-0.00869667
0,0.00523070
0,0.00422267
0,0.05964396
0,0.10881283
0,0.14156193
0,-0.00584274
0,0.11662229
0,-0.01677066
0,0.06770288
0,0.07383151
0,0.14265721
0,0.02496698
0,0.15229709
0,-0.02230921
0,-0.01895637
0,0.04021661
0,0.06498678
0,0.12307309
0,0.15613510
0,-0.02390478
0,0.03778380
0,0.08648911
0,-0.03416484
0,0.03352693
0,0.04443489
0,0.06751134
0,0.00475749
0,-0.01032792
0,0.06406583
0,0.04889299
0,0.07112172
0,0.01712795
0,0.34075060
0,0.02605953
0,0.05868133
0,0.06043865
0,0.03405199
0,0.07551560
0,0.05574646
0,-0.02075838
0,0.07003134
0,0.11974075
0,0.03148082
0,-0.07062633
0,0.01469984
0,0.07009105
0,0.05336877
0,-0.00827065
0,-0.06597435
0,-0.03918317
0,-0.03256901
0,-0.04644817
0,0.01842291
0,0.13761459
0,0.18859851
0,0.02895899
0,-0.04054245
0,0.20407812
0,0.08491600
0,0.03089063
0,-0.01181314
0,-0.00383308
0,0.13413782
0,0.04045023
0,0.07375322
0,0.08934314
0,0.25366396
0,0.03508424
0,-0.00006591
0,-0.01528907
0,-0.02037303
0,-0.04727297
0,0.17449678
0,0.09060589
0,0.02944661
0,0.09604967
0,0.04402065
0,0.09116765
0,-0.02743642
0,0.21774690
0,-0.01775673
0,0.05928335
0,-0.01071001
0,0.02598828
0,0.03096134
0,0.01078832
0,-0.01026353
0,0.02892733
0,0.01113449
0,-0.00771309
0,-0.02230367
0,0.00404690
0,-0.01850799
0,-0.00811389
0,0.01987861
0,0.05988722
0,0.02013864
0,0.04050488
0,0.05515989
0,0.07581139
0,0.18990695
0,0.18724114
0,-0.02341770
0,-0.01138526
0,0.00044679
0,0.00085306
0,-0.01906144
0,0.02440527
0,-0.01918053
0,0.00006665
0,-0.00114767
0,-0.02486070
0,0.04587854
0,0.05438303
0,0.03518243
0,0.03143946
0,0.01981591
0,-0.01608687
1,0.06154441
1,-0.01075719
1,-0.00177588
1,0.04707286
1,0.00397791
1,0.10338632
1,0.06491356
1,0.10997956
1,-0.02002853
1,0.09532177
1,-0.00120405
1,0.06131242
1,0.05772573
1,-0.01493016
1,0.01920422
1,0.02869627
1,-0.02285266
1,0.06923348
1,0.07006193
1,0.02680787
1,-0.00690788
1,-0.05300769
1,0.00563629
1,-0.00639422
1,0.00682463
1,-0.03923932
1,-0.03545263
1,0.02231630
1,-0.00263678
1,0.03052443
1,-0.04060007
1,0.02193826
1,0.02087867
1,-0.01918541
1,0.04042580
1,-0.00318549
1,0.02597917
1,0.03643402
1,-0.02626549
1,-0.04557360
1,-0.00924202
1,0.00741821
1,-0.01550166
1,-0.05045803
1,0.07264984
1,-0.03026389
1,-0.00558029
1,0.00940326
1,0.02169167
1,0.04146637
1,-0.00624197
1,0.05269694
1,-0.00060449
1,-0.00198114
1,0.03007892
1,0.06581976
1,0.02648961
1,-0.02530571
1,0.03174652
1,0.02118090
1,-0.06199490
1,0.00522271
1,0.01737988
1,-0.00715855
1,0.00814186
1,0.01675406
1,0.01379769
1,-0.03393774
1,0.02862204
1,-0.02442457
1,-0.01717840
1,-0.05671923
1,-0.05038453
1,0.02596726
1,-0.07857287
1,0.04219199
1,-0.02706700
1,-0.02153305
1,0.07659016
1,0.03869742
1,-0.07678228
1,0.03758569
1,-0.04018577
1,-0.02016908
1,-0.00169590
1,0.05740644
1,-0.04568826
1,0.06697921
1,-0.01979762
1,-0.01949254
1,0.06560040
1,-0.00081128
1,0.00497614
1,-0.05597089
1,0.01145138
1,-0.06457327
1,0.02479888
1,-0.02917954
1,0.05744535
1,-0.04893328
1,0.06431157
1,0.01909442
1,0.02158253
1,-0.00834805
1,-0.02548252
1,0.02227134
1,-0.00458606
1,-0.00435619
1,0.02351807
1,0.05492583
1,-0.00816088
1,0.01959749
1,0.02442634
1,0.00366524
1,-0.01627013
1,0.08959020
1,-0.09613555
1,0.05281565
1,0.04471470
1,0.07052343
1,-0.00010008
1,0.06465229
1,-0.03163090
1,-0.04700886
1,-0.01414790
1,-0.02421590
1,0.00332579
1,0.02670315
1,0.04692712
1,-0.01195310
1,0.08580682
1,0.01323097
1,0.03237110
1,0.00838033
1,0.00843958
1,0.02830818
1,0.00404620
1,0.07435871
1,-0.04446610
1,0.11995985
1,-0.03768966
1,-0.00625873
1,-0.00885560
1,-0.03251077
1,-0.01626250
2,0.01781721
2,0.13784315
2,0.02601950
2,0.04831874
2,0.04257285
2,0.06675109
2,-0.00520697
2,0.01942947
2,0.07836609
2,0.04893616
2,0.05879689
2,0.00042267
2,0.00988280
2,0.04283504
2,0.06374830
2,0.01907422
2,0.04113978
2,0.04830572
2,0.02664203
2,0.02198879
2,-0.01229217
2,-0.04734552
2,0.02536925
2,0.09317207
2,-0.04015043
2,0.02941373
2,0.06321018
2,0.04893119
2,0.05502760
2,0.04810033
2,-0.00418811
2,0.01990132
2,0.05314165
2,0.05285970
2,0.00896621
2,0.02735683
2,0.05483371
2,-0.09021741
2,-0.01576173
2,0.12075068
2,0.05180356
2,0.10900261
2,0.07126480
2,0.03538529
2,0.09895594
2,0.05064737
2,-0.02069124
2,0.05973322
2,0.03559001
2,-0.06116980
2,-0.01049885
2,0.00929548
2,0.07906825
2,0.02479699
2,0.06550717
2,0.00313334
2,0.01013152
2,-0.01042069
2,0.11057890
2,0.04506804
2,-0.00528566
2,-0.04436010
2,0.05369356
2,0.03588071
2,0.03906811
2,0.00547401
2,0.12686123
2,-0.00526795
2,0.08173676
2,0.02647210
2,-0.00677109
2,0.03023353
2,-0.00897197
2,0.01420727
2,0.00255807
2,0.01217757
2,0.03390344
2,-0.00810010
2,0.02042766
2,-0.03059725
2,-0.01828060
2,0.04059305
2,-0.02042394
2,-0.02493696
2,0.02887628
2,0.03556626
2,-0.02426993
2,-0.02959547
2,0.02854934
2,0.15152271
2,0.01421902
2,-0.01957950
2,0.01485025
2,0.00617105
2,0.09606399
