window,alpha
0,0.09604453
0,0.05813137
0,-0.00498775
0,0.00354288
0,0.00720043
0,-0.02602523
0,0.05848810
0,0.05919456
0,-0.02374448
0,-0.09802487
0,0.03188666
0,0.01565006
0,0.02358889
0,0.00305542
0,-0.01631402
0,0.02626873
0,0.00600528
0,-0.04255095
0,0.13260897
0,0.08245380
0,-0.00971562
0,0.00203952
0,0.05718082
0,0.10477352
0,0.13789925
0,-0.00691450
0,0.11065011
0,-0.01721264
0,0.06680210
0,0.08835572
0,0.07018282
0,0.03655413
0,0.13906093
0,0.02178142
0,0.14940630
0,-0.02374176
0,-0.02003320
0,0.03780660
0,0.06253300
0,0.12049424
0,0.14915790
0,-0.02481039
0,0.03652281
0,0.08481962
0,0.03254244
0,0.04251075
0,0.02161805
0,0.00403004
0,-0.01154523
0,0.06227623
0,0.04582430
0,0.06898712
0,0.32482305
0,0.02563229
0,0.05546734
0,0.05977012
0,0.07309062
0,-0.02303155
0,0.06915888
0,0.11659258
0,0.03004035
0,-0.06981697
0,-0.01548437
0,0.06871445
0,0.01346540
0,0.06739003
0,0.05077975
0,-0.00827595
0,-0.00929784
0,-0.06749251
0,-0.04336451
0,-0.03458741
0,-0.04714210
0,0.01571544
0,0.13331069
0,0.18403029
0,0.02808384
0,-0.03936196
0,0.19777597
0,0.08097553
0,0.02888007
0,-0.01461336
0,-0.00447972
0,0.13157886
0,0.12316698
0,0.03862124
0,0.07075538
0,0.08661500
0,0.24472421
0,0.03388977
0,-0.00162646
0,-0.01644229
0,-0.02121030
0,-0.04818192
0,0.16682903
0,0.08772838
0,0.02704123
0,0.04354500
0,0.08950640
0,-0.02876403
0,0.21350358
0,-0.01863049
0,0.05719865
0,-0.01148734
0,0.02373699
0,0.02926153
0,0.01039411
0,-0.01161042
0,0.02781571
0,0.01020687
0,-0.00945387
0,-0.02287049
0,0.00310341
0,-0.02027675
0,-0.00889841
0,0.01926851
0,0.05763813
0,0.01909463
0,0.03931771
0,0.05199039
0,0.07081424
0,0.18499486
0,0.17864431
0,-0.02428843
0,0.01598642
0,-0.01164210
0,0.00025795
0,0.00049393
0,-0.01961124
0,0.02323097
0,-0.01945896
0,-0.00058308
0,-0.02335431
0,-0.00166097
0,-0.02191187
0,-0.02698818
0,0.04417633
0,0.05345479
0,0.00583365
0,0.03355981
0,0.03060208
0,0.01734407
0,-0.01671805
1,0.06133597
1,-0.01073594
1,-0.00154146
1,0.04661899
1,0.01059948
1,0.00392028
1,0.10293823
1,0.06469517
1,0.10979625
1,-0.01987785
1,0.09488606
1,-0.00150675
1,0.06101650
1,0.00612103
1,0.05754568
1,-0.01501164
1,0.01873657
1,0.02865420
1,-0.02292165
1,0.06879301
1,0.06979764
1,0.02782065
1,-0.00645490
1,0.00531544
1,-0.00663832
1,0.00623237
1,-0.03866500
1,-0.03544706
1,0.02186841
1,-0.00235196
1,0.03094645
1,-0.04009484
1,0.02224009
1,-0.01885319
1,0.04030275
