market,spec,benchmark,rms_deep_pct,rms_bench_pct,diff_pp,ci_lo,ci_hi,p_diff_le0,p_diff_ge0,n_windows
TR,E2,Market,6.0616,6.8637,-0.6581,-1.4563,0.3096,0.9001,0.0999,6
TR,E2,q-factor,6.0616,6.7787,-0.6047,-1.4,0.4543,0.8915,0.1085,6
TR,E2,LASSO,6.0616,7.6394,-1.7383,-4.694,0.7917,0.8764,0.1236,6
TR,E2,PCA(5),6.0616,6.8644,-0.665,-1.7415,0.7499,0.8303,0.1697,6
TR,E2,Linear SDF (SY),6.0616,17.8061,-12.489,-22.4127,-2.0819,1.0,0.0,6
TR,E2,Linear SDF (all),6.0616,13.8215,-8.2765,-15.5732,-1.8875,1.0,0.0,6
TR,E3,Market,6.0058,6.8637,-0.7212,-1.3746,0.209,0.9405,0.0595,6
TR,E3,q-factor,6.0058,6.7787,-0.6678,-1.4088,0.3099,0.9338,0.0662,6
TR,E3,LASSO,6.0058,7.6394,-1.8014,-4.7814,0.7657,0.8722,0.1278,6
TR,E3,PCA(5),6.0058,6.8644,-0.7281,-1.7457,0.6499,0.8794,0.1206,6
TR,E3,Linear SDF (SY),6.0058,17.8061,-12.5521,-22.6236,-2.1413,1.0,0.0,6
TR,E3,Linear SDF (all),6.0058,13.8215,-8.3396,-15.7391,-1.9237,1.0,0.0,6
TR,E4A,Market,5.9502,6.8637,-0.7802,-1.4213,-0.041,0.9758,0.0242,6
TR,E4A,q-factor,5.9502,6.7787,-0.7268,-1.4175,0.1168,0.9495,0.0505,6
TR,E4A,LASSO,5.9502,7.6394,-1.8604,-4.8284,0.725,0.8891,0.1109,6
TR,E4A,PCA(5),5.9502,6.8644,-0.7871,-1.7333,0.4831,0.9121,0.0879,6
TR,E4A,Linear SDF (SY),5.9502,17.8061,-12.6111,-22.5322,-2.1097,1.0,0.0,6
TR,E4A,Linear SDF (all),5.9502,13.8215,-8.3987,-15.9062,-1.9083,1.0,0.0,6
TR,E4B,Market,6.0099,6.8637,-0.7154,-1.398,0.1847,0.9418,0.0582,6
TR,E4B,q-factor,6.0099,6.7787,-0.662,-1.3398,0.2546,0.9346,0.0654,6
TR,E4B,LASSO,6.0099,7.6394,-1.7956,-4.6904,0.7199,0.8836,0.1164,6
TR,E4B,PCA(5),6.0099,6.8644,-0.7223,-1.6626,0.5667,0.8771,0.1229,6
TR,E4B,Linear SDF (SY),6.0099,17.8061,-12.5463,-22.6493,-2.1096,1.0,0.0,6
TR,E4B,Linear SDF (all),6.0099,13.8215,-8.3338,-15.7807,-1.8988,1.0,0.0,6
TR,E5A,Market,7.4355,6.8637,0.7801,-1.3435,3.7231,0.3223,0.6777,6
TR,E5A,q-factor,7.4355,6.7787,0.8335,-1.0494,3.1662,0.2761,0.7239,6
TR,E5A,LASSO,7.4355,7.6394,-0.3,-1.6681,0.8562,0.6705,0.3295,6
TR,E5A,PCA(5),7.4355,6.8644,0.7732,-1.1067,2.8961,0.232,0.768,6
TR,E5A,Linear SDF (SY),7.4355,17.8061,-11.0508,-21.7516,-1.7965,1.0,0.0,6
TR,E5A,Linear SDF (all),7.4355,13.8215,-6.8383,-15.2051,1.4633,0.885,0.115,6
TR,E5B,Market,7.4416,6.8637,0.787,-1.3227,3.8112,0.3265,0.6735,6
TR,E5B,q-factor,7.4416,6.7787,0.8404,-1.073,3.1217,0.2886,0.7114,6
TR,E5B,LASSO,7.4416,7.6394,-0.2932,-1.6718,0.8704,0.6656,0.3344,6
TR,E5B,PCA(5),7.4416,6.8644,0.7801,-1.1051,2.984,0.2445,0.7555,6
TR,E5B,Linear SDF (SY),7.4416,17.8061,-11.0439,-21.8044,-1.7353,1.0,0.0,6
TR,E5B,Linear SDF (all),7.4416,13.8215,-6.8314,-15.3321,1.519,0.8873,0.1127,6
TR,E8,Market,6.1188,6.8637,-0.6025,-1.3676,0.3232,0.891,0.109,6
TR,E8,q-factor,6.1188,6.7787,-0.5492,-1.0919,0.1444,0.941,0.059,6
TR,E8,LASSO,6.1188,7.6394,-1.6827,-4.1654,0.6356,0.882,0.118,6
TR,E8,PCA(5),6.1188,6.8644,-0.6095,-1.1601,0.5157,0.8909,0.1091,6
TR,E8,Linear SDF (SY),6.1188,17.8061,-12.4335,-22.4929,-2.137,1.0,0.0,6
TR,E8,Linear SDF (all),6.1188,13.8215,-8.221,-15.8092,-1.5726,1.0,0.0,6
TR,E8B,Market,5.9925,6.8637,-0.7447,-1.2669,-0.1235,0.9895,0.0105,6
TR,E8B,q-factor,5.9925,6.7787,-0.6913,-1.3032,-0.0141,0.9784,0.0216,6
TR,E8B,LASSO,5.9925,7.6394,-1.8249,-4.7309,0.7396,0.879,0.121,6
TR,E8B,PCA(5),5.9925,6.8644,-0.7517,-1.5726,0.3431,0.9396,0.0604,6
TR,E8B,Linear SDF (SY),5.9925,17.8061,-12.5757,-22.877,-2.1164,1.0,0.0,6
TR,E8B,Linear SDF (all),5.9925,13.8215,-8.3632,-16.0947,-1.7488,1.0,0.0,6
