window,alpha
0,0.09895330
0,0.05894456
0,-0.00481774
0,0.00418233
0,0.00787544
0,-0.02555758
0,0.05911363
0,0.05990484
0,-0.02333243
0,-0.09760705
0,0.03270831
0,0.01556044
0,0.02414340
0,0.00346870
0,-0.01591219
0,0.02683706
0,0.00721053
0,-0.04211103
0,0.13465230
0,-0.00924296
0,0.00429399
0,0.00285884
0,0.05824262
0,0.13950808
0,-0.00639473
0,0.11322971
0,-0.01697484
0,0.06751109
0,0.08863804
0,0.07172684
0,0.03750128
0,0.14037679
0,0.02315649
0,0.15076518
0,-0.02320579
0,-0.01966829
0,0.03892291
0,0.06352624
0,0.12185607
0,0.15218914
0,-0.02450549
0,0.03709978
0,0.08554635
0,-0.03425180
0,0.03298092
0,0.04322559
0,0.06716985
0,0.02236094
0,0.00434812
0,-0.01105195
0,0.06302992
0,0.04700878
0,0.06988555
0,0.01606927
0,0.33216596
0,0.02586117
0,0.05683041
0,0.06005579
0,0.03279002
0,0.07415798
0,0.05391860
0,-0.02206524
0,0.06954744
0,0.11786223
0,0.03069829
0,-0.07011024
0,-0.01490303
0,0.06989907
0,0.01395068
0,0.06851634
0,0.05176145
0,-0.00759528
0,-0.00890820
0,-0.06685352
0,-0.04137972
0,-0.03371074
0,-0.04689058
0,0.01708204
0,0.13503222
0,0.18552907
0,-0.03998038
0,0.20063438
0,0.08288481
0,0.02956819
0,-0.01350182
0,-0.00426454
0,0.13282040
0,0.12537603
0,0.03928474
0,0.07188234
0,0.08791529
0,0.03438569
0,-0.00088658
0,-0.01594566
0,-0.02088145
0,-0.04786788
0,0.17038958
0,0.08889016
0,0.02810726
0,0.09417358
0,0.04374880
0,-0.02818336
0,-0.01833516
0,0.05803888
0,-0.01114165
0,0.02474960
0,0.02994225
0,0.01060066
0,-0.01097253
0,0.02816580
0,0.01059361
0,-0.00873607
0,-0.02264396
0,0.00347233
0,-0.01954025
0,-0.00862076
0,0.01950362
0,0.05875755
0,0.01956940
0,0.03982751
0,0.05336792
0,0.07307231
0,0.18698312
0,-0.02388985
0,0.01615779
0,-0.01155189
0,0.00038243
0,0.00059457
0,-0.01944388
0,0.02364693
0,-0.01939437
0,-0.00038062
0,-0.02314718
0,-0.00149442
0,-0.02175832
0,-0.02623340
0,0.04484431
0,0.05391488
0,0.00684305
0,0.03420807
0,0.03094983
0,0.01825340
0,-0.01647962
1,0.06263711
1,-0.00980526
1,0.00008940
1,0.04869242
1,0.00423553
1,0.10441210
1,0.06579281
1,0.11160515
1,-0.01970216
1,0.09737443
1,-0.00034394
1,0.06280708
1,0.00768573
1,0.05874854
1,-0.01396639
1,0.01988273
1,0.02788183
1,0.07204060
1,0.07067082
1,0.02834313
1,-0.00559068
1,0.00652732
1,-0.00532603
1,0.00706230
1,-0.03915596
1,-0.03488028
1,0.02306200
1,-0.00320520
1,0.03121943
1,-0.03832481
1,0.02267438
1,0.02270762
1,-0.01812527
1,0.04150784
1,-0.00233791
1,0.02623565
