window,alpha
0,0.09877291
0,0.05873089
0,-0.00481283
0,0.00408760
0,0.00776055
0,-0.02557417
0,0.05894263
0,0.05977358
0,-0.02322371
0,-0.09748099
0,0.03250463
0,0.01554842
0,0.02402612
0,0.00338555
0,-0.01624349
0,0.02673992
0,0.00696629
0,-0.04215612
0,0.13437109
0,0.08371805
0,-0.00938780
0,0.00418330
0,0.00277838
0,0.05814852
0,0.10636628
0,0.13911699
0,-0.00637840
0,0.11303622
0,-0.01702564
0,0.06719963
0,0.08831704
0,0.07135851
0,0.03728319
0,0.13995615
0,0.02306201
0,0.15040804
0,-0.02307679
0,-0.01959508
0,0.03878111
0,0.06338833
0,0.12126278
0,0.15169041
0,-0.02443109
0,0.03706190
0,0.08533911
0,-0.03433040
0,0.03290426
0,0.04317072
0,0.06708650
0,0.02221694
0,0.00430861
0,-0.01106587
0,0.06294855
0,0.04683006
0,0.06976651
0,0.01587361
0,0.33173147
0,0.02583839
0,0.05639688
0,0.05997514
0,0.03274411
0,0.07404444
0,0.05378206
0,-0.02209487
0,0.06937487
0,0.11763921
0,0.03060312
0,-0.07008884
0,-0.01508563
0,0.06954930
0,0.01389591
0,0.06822860
0,0.05160544
0,-0.00761288
0,-0.00900848
0,-0.06688683
0,-0.04142476
0,-0.03371863
0,-0.04689795
0,0.01671303
0,0.13454619
0,0.18502133
0,0.02833387
0,-0.03964218
0,0.20011817
0,0.08259971
0,0.02945203
0,-0.01363286
0,-0.00432497
0,0.13256530
0,0.12513947
0,0.03912793
0,0.07161040
0,0.08743677
0,0.24825889
0,0.03421410
0,-0.00106933
0,-0.01598234
0,-0.02088646
0,-0.04789853
0,0.17018181
0,0.08851636
0,0.02785051
0,0.09436882
0,0.04367939
0,0.09004539
0,-0.02828931
0,0.21516199
0,-0.01830167
0,0.05780058
0,-0.01118094
0,0.02478260
0,0.02980727
0,0.01051218
0,-0.01096649
0,0.02805630
0,0.01061538
0,-0.00876545
0,-0.02263475
0,0.00344499
0,-0.01950668
0,-0.00863596
0,0.01939048
0,0.05850289
0,0.01952721
0,0.03977251
0,0.05308720
0,0.07279985
0,0.18665026
0,0.18212371
0,-0.02391281
0,0.01614456
0,-0.01155527
0,0.00040361
0,0.00055835
0,-0.01945876
0,0.02347424
0,-0.01942347
0,-0.00046055
0,-0.02315010
0,-0.00152194
0,-0.02177923
0,-0.02637842
0,0.04475614
0,0.05372010
0,0.00666045
0,0.03409724
0,0.03087614
0,0.01806648
0,-0.01649994
1,0.06178891
1,-0.01045681
1,-0.00094895
1,0.04731532
1,0.01127724
1,0.00374706
1,0.10271715
1,0.06466248
1,0.10914267
1,-0.01989437
1,0.09522417
1,-0.00111531
1,0.06139475
1,0.00678861
1,0.05781819
1,-0.01439659
1,0.01944154
1,0.02807817
1,-0.02200109
1,0.06970621
1,0.06979915
1,0.02684762
1,-0.00611949
1,-0.05269442
1,0.00598256
1,-0.00596856
1,0.00677268
1,-0.03877284
1,-0.03478430
1,0.02223567
1,-0.00274358
1,0.03089747
1,-0.03936342
1,0.02222855
1,0.02141801
1,-0.01856146
1,0.04066865
1,-0.00249581
1,0.02571719
1,0.03645290
1,-0.02562895
1,0.03621924
1,-0.04523098
1,-0.00955724
1,0.00747581
1,-0.01574992
1,-0.04922224
1,0.07258688
1,-0.03010154
1,-0.00471372
1,0.00910861
1,0.02226695
1,0.04122310
1,-0.00531035
1,0.05229101
1,-0.00048915
1,-0.00218148
1,0.03055295
1,0.06636155
1,0.02672726
1,0.09209770
1,-0.02474705
1,0.03159519
1,0.02146290
1,-0.06027531
1,0.00593100
1,0.01748117
1,-0.00594052
1,0.00859723
1,0.01676224
1,0.01388817
1,-0.03310541
1,0.02823399
1,-0.02382515
1,-0.01683798
1,-0.05626158
1,-0.04955801
1,0.02718988
1,-0.07711697
1,0.04277987
1,-0.02634391
1,-0.02062644
1,0.07672032
1,0.03882235
1,-0.07522139
1,0.03772238
1,-0.03926372
1,-0.02011271
1,-0.00142105
1,0.05751261
1,-0.04437351
1,0.06604288
1,-0.01933333
1,-0.01822146
1,0.06647828
1,-0.00075465
1,0.00536666
1,-0.05510951
1,0.01179135
1,-0.06391679
1,0.02490088
1,-0.02853967
1,0.05710487
1,-0.02977321
1,-0.04740709
1,0.06481842
1,0.01939394
1,0.02243730
1,-0.00794816
1,-0.02546726
1,0.02197684
1,-0.00520295
1,-0.00375027
1,0.02386542
1,0.00111997
1,0.05498137
1,-0.00806976
1,0.02001492
1,0.02484606
1,0.00403168
1,-0.01546188
1,0.08938804
1,-0.09461543
1,0.05243876
1,0.04471312
1,0.07001031
1,0.00023920
1,0.06499484
1,-0.03087321
1,-0.04696244
1,-0.01339162
1,-0.02338273
1,0.00292430
1,0.02734056
1,0.04702369
1,-0.01152937
1,0.08618065
1,0.01373114
1,0.03264180
1,0.00923115
1,0.00913667
1,0.02891010
1,0.00460607
1,0.07377326
1,-0.04374449
1,0.11893958
1,0.00894923
1,-0.03690864
1,-0.00631231
1,-0.00848865
1,-0.03191136
1,-0.01534512
2,0.06099021
2,0.26988468
2,0.10528421
2,0.10280221
2,0.15015161
2,0.17414084
2,0.04114464
2,0.06445257
2,0.08148979
2,0.11459243
2,0.19475977
2,0.03013898
2,0.06280656
2,0.05513698
2,0.13968338
2,0.14272688
2,0.07234401
2,0.17437366
2,0.13793238
2,0.12027741
2,0.14261487
2,0.02475851
2,0.03200876
2,0.05876297
2,0.13636146
2,0.01090539
2,0.09809650
2,0.14432690
2,0.11347944
2,0.11896244
2,0.11173259
2,0.20070028
2,0.07980315
2,0.10477301
2,0.11138574
2,0.13731982
2,0.06417409
2,0.13471760
2,0.09969008
2,0.01095673
2,0.03960573
2,0.25272164
2,0.17732142
2,0.14293943
2,0.14120427
2,0.11519655
2,0.16557632
2,0.15073869
2,0.05594354
2,0.15219854
2,0.14221920
2,0.00867592
2,0.03469010
2,0.07669771
2,0.11424224
2,0.08372673
2,0.22607040
2,0.05061172
2,0.07157738
2,0.05249584
2,0.19175152
2,0.09117275
2,0.04521435
2,0.01312997
2,0.20011595
2,0.16227336
2,0.12417186
2,0.09205604
2,0.20996439
2,0.05568320
2,0.18117896
2,0.14015488
2,0.07068426
2,0.10414304
2,0.06762464
2,0.06791621
2,0.08146775
2,0.04580697
2,0.13493691
2,0.07229020
2,0.10912524
2,0.10154790
2,0.05131513
2,0.10919777
2,0.01276199
2,0.02025463
2,0.16987188
2,0.06539652
2,0.14206603
2,0.02620173
2,0.03412247
2,0.02925586
2,0.05958178
2,0.24044888
2,0.06390984
2,0.05503031
2,0.08769011
2,0.09480538
2,0.16157039
2,0.08312675
2,0.12050462
2,0.15374315
2,-0.03209398
2,0.09079636
2,0.06775082
2,0.01857412
2,0.07475843
2,0.17040826
2,0.10686560
2,0.07873348
2,0.14379708
2,0.03651860
2,0.07806953
2,0.10856740
2,0.16147551
2,0.15977435
2,0.05494658
2,0.11243404
2,0.11652618
2,0.05002769
2,0.12098954
2,0.05627638
2,0.14632623
2,0.10933328
2,0.10782133
2,0.08738162
2,0.08137817
2,0.11079795
2,0.01407713
2,0.07564427
2,0.08971029
2,0.07101768
2,0.12265500
2,0.16981132
2,0.09011710
2,0.11291420
2,0.21200982
2,0.10753614
2,0.10895230
2,0.13548730
2,0.12650843
2,0.15048268
2,0.05409125
2,0.08754702
2,0.15027644
2,0.27383652
2,0.12995587
2,0.14367457
2,0.17450811
3,-0.02111649
3,0.10136132
3,0.06557807
3,0.07396475
3,-0.01005368
3,0.10864802
3,-0.00335432
3,0.01819672
3,-0.10842768
3,0.00301791
3,-0.02291459
3,-0.00032503
3,0.03641150
3,-0.03252099
3,0.04486136
3,0.00807524
3,0.00333434
3,-0.06220742
3,-0.04335158
3,0.04004785
3,0.01853696
3,0.06101288
3,0.00253084
3,-0.05575214
3,-0.01338969
3,0.01447582
3,0.04330915
3,-0.00774689
3,0.02378441
3,-0.05347363
3,-0.02234339
3,-0.00777362
3,0.01155986
3,-0.01502675
3,0.12001782
3,0.00581411
3,-0.00291402
3,0.04749725
3,0.06181242
3,0.00104798
3,-0.04779282
3,0.00404386
3,0.06871314
3,0.02851405
3,-0.00891774
3,-0.00722224
3,-0.01483817
3,-0.02254811
3,-0.03595287
