window,alpha
0,0.09608313
0,0.05809882
0,-0.00499314
0,0.00348055
0,0.00714948
0,-0.02600475
0,0.05837838
0,0.05915149
0,-0.02360287
0,-0.09788641
0,0.03184098
0,0.01567526
0,0.02356770
0,0.00304281
0,-0.01625896
0,0.02621157
0,0.00599462
0,-0.04265113
0,0.13265319
0,0.08245256
0,-0.00984283
0,0.00372127
0,0.00196724
0,0.05717526
0,0.10472063
0,0.13747336
0,-0.00695429
0,0.11075199
0,-0.01720336
0,0.06690465
0,0.08826991
0,0.07009295
0,0.03654965
0,0.13897507
0,0.02171684
0,0.14884867
0,-0.02374049
0,-0.02009544
0,0.03770508
0,0.06244157
0,0.12046924
0,0.14908463
0,-0.02476551
0,0.03657990
0,0.08455016
0,-0.03441504
0,0.03247429
0,0.04237768
0,0.06716242
0,0.02167267
0,0.00395812
0,-0.01155912
0,0.06215053
0,0.04576456
0,0.06893279
0,0.01522354
0,0.32509717
0,0.02566663
0,0.05550710
0,0.05975086
0,0.03186108
0,0.07288691
0,0.05244127
0,-0.02299016
0,0.06909629
0,0.11652575
0,0.03000241
0,-0.06960336
0,-0.01540095
0,0.06861020
0,0.01335825
0,0.06725156
0,0.05072053
0,-0.00830001
0,-0.00932202
0,-0.06748722
0,-0.04312041
0,-0.03454743
0,-0.04714372
0,0.01576386
0,0.13344078
0,0.18401915
0,0.02806267
0,-0.03918874
0,0.19766480
0,0.08110275
0,0.02891915
0,-0.01463804
0,-0.00453443
0,0.13082619
0,0.12298264
0,0.03853277
0,0.07068057
0,0.08650983
0,0.24438238
0,0.03384405
0,-0.00171480
0,-0.01644427
0,-0.02128284
0,-0.04813831
0,0.16674675
0,0.08774334
0,0.02702013
0,0.09256363
0,0.04342649
0,0.08934274
0,-0.02875129
0,0.21304941
0,-0.01865624
0,0.05711362
0,-0.01154743
0,0.02373624
0,0.02920417
0,0.01037278
0,-0.01160391
0,0.02766101
0,0.01029499
0,-0.00949740
0,-0.02287806
0,0.00307614
0,-0.02020787
0,-0.00892941
0,0.01932563
0,0.05755204
0,0.01908599
0,0.03913711
0,0.05197394
0,0.07086638
0,0.18481363
0,0.17866151
0,-0.02435450
0,0.01587074
0,-0.01162693
0,0.00023200
0,0.00045441
0,-0.01960562
0,0.02316702
0,-0.01953160
0,-0.00068231
0,-0.02337368
0,-0.00170345
0,-0.02195350
0,-0.02690265
0,0.04412080
0,0.05347989
0,0.00584705
0,0.03342192
0,0.03057180
0,0.01735360
0,-0.01672268
1,0.06379917
1,-0.01063266
1,0.00020211
1,0.04922417
1,0.01225270
1,0.00418801
1,0.10414830
1,0.06656832
1,0.11179706
1,-0.01937205
1,0.09881642
1,0.00043764
1,0.06354402
1,0.00886303
1,0.05915705
1,-0.01408570
1,0.02033491
1,0.02813965
1,-0.02084942
1,0.07339519
1,0.07130907
1,0.02638758
1,-0.00460125
1,-0.05542010
1,0.00747386
1,-0.00472201
1,0.00769187
1,-0.03829271
1,-0.03399125
1,0.02328265
1,-0.00250744
1,0.03176874
1,-0.03731840
1,0.02245653
1,0.02363894
1,-0.01759589
1,0.04162915
1,-0.00224912
1,0.02676836
1,0.03852905
1,-0.02482915
1,0.03762672
1,-0.04596290
1,-0.01137505
1,0.00798236
1,-0.01672691
1,-0.04835814
1,0.07503889
1,-0.03000629
1,-0.00240404
1,0.00862109
1,0.02470056
1,0.04172577
1,-0.00389285
1,0.05393151
1,0.00085924
1,-0.00158279
1,0.03322529
1,0.07003024
1,0.02676054
1,0.09494521
1,-0.02275836
1,0.03291800
1,0.02227978
1,-0.05915768
1,0.00724422
1,0.01849221
1,-0.00316949
1,0.01019431
1,0.01725251
1,0.01469059
1,-0.03164228
1,0.02951556
1,-0.02293237
1,-0.01616353
1,-0.05654560
1,-0.04902330
1,0.02921891
1,-0.07758818
1,0.04426330
1,-0.02538982
1,-0.01980818
1,0.08202461
1,0.04153899
1,-0.07537644
1,0.03973974
1,-0.03842140
1,-0.02046518
1,-0.00066660
1,0.05975879
1,-0.04358796
1,0.06716504
1,-0.01943385
1,-0.01679462
1,0.06853736
1,-0.00036443
1,0.00638315
1,-0.05580762
1,0.01368278
1,-0.06375496
1,0.02678697
1,-0.02819406
1,0.05943804
1,-0.02864411
1,-0.04763059
1,0.06701976
1,0.02044765
1,0.02467601
1,-0.00737972
1,-0.02572195
1,0.02261827
1,-0.00613379
1,-0.00230311
1,0.02572007
1,0.00225146
1,0.05757662
1,-0.00765919
1,0.02187335
1,0.02700073
1,0.00471245
1,-0.01449089
1,0.09056380
1,-0.09472775
1,0.05478841
1,0.04636991
1,0.07368308
1,0.00110998
1,0.06773330
1,-0.03135551
1,-0.04723709
1,-0.01275247
1,-0.02269135
1,0.00294959
1,0.02967563
1,0.04867547
1,-0.01151691
1,0.09003073
1,0.01605958
1,0.03441414
1,0.01162736
1,0.01137365
1,0.03218346
1,0.00600102
1,0.07496660
1,-0.04332809
1,0.12120485
1,0.00959993
1,-0.03631604
1,-0.00546572
1,-0.00747103
1,-0.03079053
1,-0.01394166
2,0.00247109
2,0.09286191
2,-0.00116087
2,0.03010953
2,0.00553198
2,0.02953060
2,-0.02197823
2,0.00370391
2,0.07799571
2,0.02677676
2,0.01079705
2,-0.00857690
2,-0.00787830
2,0.00036307
2,0.00914731
2,0.03600482
2,0.00008796
2,-0.00347536
2,0.01724642
2,-0.00525155
2,-0.01957622
2,-0.02504333
2,-0.07562023
2,0.01445804
2,0.08121533
2,-0.05892577
2,0.00516741
2,0.03555385
2,0.02809181
2,0.03405586
2,0.03536918
2,-0.00569894
2,-0.03341943
2,-0.00960885
2,0.03376278
2,0.02439198
2,-0.01089589
2,-0.00927831
2,0.03951738
2,-0.12637016
2,-0.03503952
2,0.07574987
2,0.00872108
2,0.09827703
2,0.04932248
2,0.00774314
2,0.07864194
2,0.01631573
2,-0.04822347
2,0.02780525
2,-0.00214608
2,-0.08544747
2,-0.02625310
2,-0.01410636
2,0.06843459
2,0.00376905
2,0.00924134
2,-0.01385946
2,-0.01149987
2,-0.03173384
2,0.08396029
2,0.02928990
2,-0.02309577
2,-0.06480394
2,0.00128494
2,-0.00826178
2,0.01047752
2,-0.02524411
2,0.09915352
2,-0.02689116
2,0.04710739
2,-0.01305468
2,-0.03395854
2,0.00411678
2,-0.03571071
2,-0.00365486
2,-0.02539677
2,0.00031960
2,-0.00143277
2,-0.03674647
2,-0.00978687
2,-0.07795725
2,-0.04300983
2,0.01695261
2,-0.03257689
2,-0.04128680
2,-0.02006933
2,-0.01893799
2,-0.00178674
2,-0.04178271
2,-0.05263222
2,-0.04652909
2,0.01799808
2,0.12046062
2,-0.00300605
2,-0.04640860
2,-0.01092796
2,-0.02433713
2,0.07486962
2,-0.00167545
2,0.00969398
2,0.06159243
2,-0.06384487
2,-0.01824771
2,-0.02359887
2,-0.06097921
2,-0.02471391
2,0.03524925
2,-0.01980533
2,-0.00804426
2,0.04333412
2,-0.02686523
2,-0.00480070
2,-0.00518561
2,0.05487538
2,0.06460422
2,-0.02480191
2,0.01593454
2,-0.02975962
2,-0.02462709
2,0.04511735
2,-0.04213411
2,0.00514865
2,0.00680375
2,-0.00250677
2,0.00888239
2,-0.03100516
2,0.02063133
2,-0.02342838
2,0.00459419
2,0.00854120
2,0.00429331
2,0.01810760
2,0.04960865
2,-0.00431282
2,0.03733438
2,0.06853767
2,0.00864693
2,0.02246417
2,0.02491337
2,0.03630089
2,0.03267715
2,-0.02264466
2,0.00912671
2,0.05833093
2,0.14325485
2,0.03835439
2,-0.00250254
2,-0.00187487
3,-0.01551807
3,0.11427155
3,0.07068732
3,0.07948458
3,-0.00694066
3,0.11415938
3,-0.00104397
3,0.02184916
3,-0.11032985
3,0.00847914
3,-0.01741307
3,0.00382084
3,0.04264162
3,-0.02859933
3,0.05413693
3,0.00962831
3,0.00844523
3,-0.05970414
3,-0.04164787
3,0.04275941
3,0.02358621
3,0.06519828
3,0.00330413
3,-0.05017119
3,-0.00795239
3,0.02083260
3,0.04445812
3,-0.00442020
3,0.02772577
3,-0.05058438
3,-0.01448671
3,-0.00220039
3,0.01521938
3,-0.00960762
3,0.12426703
3,0.01240906
3,0.00319499
3,0.04973191
3,0.06973108
3,0.00793915
3,-0.04647215
3,0.00796961
3,0.06911869
3,0.03311892
3,-0.00575898
3,-0.00463607
3,-0.00914222
3,-0.01787514
3,-0.03201627
3,-0.01963247
3,0.17540602
3,-0.00798400
3,-0.04154829
3,0.00966385
3,-0.00128054
3,-0.00631322
3,-0.06242107
3,0.01752111
3,0.02012771
3,0.00906264
3,-0.00020926
3,0.01636485
3,0.10152747
3,-0.03526182
3,-0.03684398
3,0.01957705
3,-0.01639428
3,0.01283111
3,0.07352985
3,-0.00177104
3,0.00350106
3,-0.00244410
3,0.11222703
3,-0.00906812
3,0.01552105
3,-0.02224257
3,-0.01755296
3,0.01533335
3,0.12409113
3,0.01184896
3,0.06525689
3,0.04160480
3,0.14569448
3,0.07371753
3,-0.06779006
3,0.00332613
3,-0.02101390
3,-0.00946860
3,-0.00257476
3,0.10658419
3,0.04211921
3,-0.01893800
3,-0.03478895
3,-0.00320331
3,0.09130208
3,-0.00586703
3,0.03885779
3,0.00636675
3,-0.02616851
3,0.05860623
3,-0.03299693
3,-0.11264099
3,0.07004422
3,-0.04808261
3,-0.00854696
3,0.07191382
3,-0.00237443
3,0.05322758
3,-0.01921708
3,0.04325943
3,0.00628365
3,-0.00546194
3,0.01010725
3,-0.01989779
3,0.05730387
3,0.00980215
3,-0.01163778
3,0.06435137
3,-0.09995342
3,0.11861414
3,-0.01446734
3,0.08706286
3,0.03004522
3,0.01159325
3,-0.02267200
3,0.01791999
3,-0.02936444
3,-0.03311292
3,0.01597356
3,-0.04781339
3,0.08082373
3,0.06314561
3,0.00922965
3,0.01052672
3,0.04555115
3,-0.02037996
3,0.00251428
3,0.00724874
3,0.06454347
3,0.01654135
3,0.10589914
3,-0.01376988
3,0.01112165
3,0.02854966
3,0.02236340
3,0.06790522
3,0.00710306
4,-0.07127000
4,-0.12276109
4,-0.15070643
4,-0.07792038
4,-0.04460428
4,-0.07105490
4,-0.11129147
4,-0.07311078
4,0.00905647
4,-0.07120588
4,-0.14193912
4,-0.04715472
4,-0.08213315
4,-0.02208755
4,0.04896290
4,-0.09237108
4,-0.08120301
4,-0.07750504
4,-0.07852627
4,-0.07844614
4,-0.02986544
4,-0.07921062
4,-0.06320397
4,-0.07049350
4,-0.05404131
4,-0.03570361
4,-0.18591328
4,-0.03763618
4,-0.12668563
4,-0.07263685
4,-0.06654897
4,-0.06419336
4,-0.12689738
4,-0.05037983
4,0.02602530
4,-0.04019855
4,0.04867716
4,-0.00006436
4,-0.07658737
4,-0.08779639
4,-0.05312105
4,-0.07839263
4,-0.11051174
4,-0.02342399
4,-0.08189947
4,-0.09393602
4,-0.05571796
4,-0.08816004
4,-0.16550452
4,-0.06145594
4,-0.09766854
