window,alpha
0,0.09609643
0,0.05810243
0,-0.00499161
0,0.00348476
0,0.00715299
0,-0.02600318
0,0.05838187
0,0.05915510
0,-0.02360204
0,-0.09788632
0,0.03184546
0,0.01567462
0,0.02356986
0,0.00304482
0,-0.01625980
0,0.02621390
0,0.00599850
0,-0.04264848
0,0.13266052
0,0.08245988
0,-0.00983983
0,0.00372391
0,0.00197184
0,0.05717999
0,0.10472903
0,0.13748111
0,-0.00695272
0,0.11076323
0,-0.01720277
0,0.06690516
0,0.08826996
0,0.07010058
0,0.03655233
0,0.13898025
0,0.02172238
0,0.14885037
0,-0.02373886
0,-0.02009325
0,0.03770928
0,0.06244676
0,0.12047493
0,0.14909805
0,-0.02476429
0,0.03658218
0,0.08455342
0,-0.03441497
0,0.03247644
0,0.04238139
0,0.06716245
0,0.02167563
0,0.00395924
0,-0.01155670
0,0.06215353
0,0.04577063
0,0.06893706
0,0.01522635
0,0.32513088
0,0.02566715
0,0.05551368
0,0.05975309
0,0.03186520
0,0.07289254
0,0.05244764
0,-0.02298664
0,0.06909757
0,0.11653208
0,0.03000515
0,-0.06960766
0,-0.01540063
0,0.06861588
0,0.01336123
0,0.06725767
0,0.05072563
0,-0.00829706
0,-0.00932050
0,-0.06748403
0,-0.04311238
0,-0.03454382
0,-0.04714243
0,0.01576779
0,0.13344792
0,0.18402697
0,0.02806476
0,-0.03919419
0,0.19767618
0,0.08110931
0,0.02892266
0,-0.01463219
0,-0.00453251
0,0.13082732
0,0.12299135
0,0.03853650
0,0.07068606
0,0.08651310
0,0.24440224
0,0.03384643
0,-0.00171194
0,-0.01644219
0,-0.02128122
0,-0.04813699
0,0.16676174
0,0.08774924
0,0.02702452
0,0.09256827
0,0.04342816
0,0.08934599
0,-0.02874913
0,0.21305676
0,-0.01865444
0,0.05711716
0,-0.01154583
0,0.02374065
0,0.02920776
0,0.01037415
0,-0.01160122
0,0.02766501
0,0.01029642
0,-0.00949406
0,-0.02287721
0,0.00307799
0,-0.02020511
0,-0.00892712
0,0.01932567
0,0.05755744
0,0.01908834
0,0.03913942
0,0.05197949
0,0.07087608
0,0.18482333
0,0.17867921
0,-0.02435263
0,0.01587352
0,-0.01162601
0,0.00023136
0,0.00045600
0,-0.01960431
0,0.02316968
0,-0.01953012
0,-0.00068014
0,-0.02337185
0,-0.00170168
0,-0.02195275
0,-0.02690077
0,0.04412428
0,0.05348058
0,0.00585165
0,0.03342583
0,0.03057428
0,0.01735813
0,-0.01672212
1,0.06090231
1,-0.01121995
