spec,seed,sharpe,ev,rms_alpha_pct
E2,42,0.2323,0.2804,6.0616
E2,43,0.7465,0.3044,6.0039
E2,44,0.7434,0.2788,5.9267
E3,42,0.2038,0.2891,5.9822
E3,43,0.5442,0.2767,6.0485
E3,44,0.6921,0.2932,6.0008
E4A,42,0.7155,0.3090,6.0027
E4A,43,0.2375,0.2904,6.0137
E4A,44,0.7234,0.2451,6.0085
E4B,42,0.7024,0.2908,6.0099
E4B,43,0.7280,0.2892,5.9878
E4B,44,0.2362,0.2675,6.0675
E5A,42,0.1715,0.2909,7.4355
E5A,43,0.7211,0.3056,7.3068
E5A,44,0.7829,0.2748,7.2534
E5B,42,0.2183,0.2805,7.4670
E5B,43,0.5298,0.2801,7.1695
E5B,44,0.7447,0.2970,7.2949
E8,42,0.2133,0.2756,6.1188
E8,43,0.7140,0.2937,5.9067
E8,44,0.7897,0.2351,5.9708
E8B,42,0.5953,0.2881,5.5355
E8B,43,0.4566,0.2888,5.9888
E8B,44,0.7120,0.2868,5.8214
loadings_max|mean|,42,0.1874,0.0756,
loadings_max|mean|,43,0.1486,0.0328,
loadings_max|mean|,44,0.2244,0.0878,
